Input,Options,Expected,Output (raw),Predicted
"F: Von den Zahlen 70 und 496, welche ist kleiner? A:","['70', '496']",70,"UTT_BOUNDARY f: von den zahlen 70 und 496, welche ist kleiner? a:UTT_BOUNDARY 466 oder 5", 466 oder 5
"F: Von den Zahlen 554 und 973, welche ist kleiner? A:","['554', '973']",554,"UTT_BOUNDARY f: von den zahlen 554 und 973, welche ist kleiner? a:UTT_BOUNDARY 5436 und", 5436 und
"F: Von den Zahlen 103 und 882, welche ist kleiner? A:","['103', '882']",103,"UTT_BOUNDARY f: von den zahlen 103 und 882, welche ist kleiner? a:UTT_BOUNDARY 1026? a", 1026? a
"F: Welche Zahl ist kleiner, 152 oder 369? A:","['152', '369']",152,"UTT_BOUNDARY f: welche zahl ist kleiner, 152 oder 369? a:UTT_BOUNDARY 1541, 21"," 1541, 21"
Schreibe von den Zahlen 849 und 178 die kleinere: ,"['849', '178']",178,"UTT_BOUNDARY schreibe von den zahlen 849 und 178 die kleinere:UTT_BOUNDARY 1788, 18"," 1788, 18"
"F: Von den Zahlen 778 und 810, welche ist kleiner? A:","['778', '810']",778,"UTT_BOUNDARY f: von den zahlen 778 und 810, welche ist kleiner? a:UTT_BOUNDARY 770 oder 6", 770 oder 6
"F: Von den Zahlen 321 und 183, welche ist kleiner? A:","['321', '183']",183,"UTT_BOUNDARY f: von den zahlen 321 und 183, welche ist kleiner? a:UTT_BOUNDARY 321 und 98", 321 und 98
Schreibe von den Zahlen 40 und 886 die kleinere: ,"['40', '886']",40,UTT_BOUNDARY schreibe von den zahlen 40 und 886 die kleinere:UTT_BOUNDARY 408 und 58, 408 und 58
"F: Welche Zahl ist kleiner, 581 oder 465? A:","['581', '465']",465,"UTT_BOUNDARY f: welche zahl ist kleiner, 581 oder 465? a:UTT_BOUNDARY 491 oder 6", 491 oder 6
Schreibe von den Zahlen 219 und 633 die kleinere: ,"['219', '633']",219,UTT_BOUNDARY schreibe von den zahlen 219 und 633 die kleinere:UTT_BOUNDARY 628 und 6, 628 und 6
Schreibe von den Zahlen 704 und 758 die kleinere: ,"['704', '758']",704,UTT_BOUNDARY schreibe von den zahlen 704 und 758 die kleinere:UTT_BOUNDARY 708 und 58, 708 und 58
"F: Welche Zahl ist kleiner, 397 oder 942? A:","['397', '942']",397,"UTT_BOUNDARY f: welche zahl ist kleiner, 397 oder 942? a:UTT_BOUNDARY 39326", 39326
"F: Welche Zahl ist kleiner, 374 oder 829? A:","['374', '829']",374,"UTT_BOUNDARY f: welche zahl ist kleiner, 374 oder 829? a:UTT_BOUNDARY 3728, 9"," 3728, 9"
"F: Von den Zahlen 447 und 809, welche ist kleiner? A:","['447', '809']",447,"UTT_BOUNDARY f: von den zahlen 447 und 809, welche ist kleiner? a:UTT_BOUNDARY 446 oder 85", 446 oder 85
Schreibe von den Zahlen 958 und 550 die kleinere: ,"['958', '550']",550,"UTT_BOUNDARY schreibe von den zahlen 958 und 550 die kleinere:UTT_BOUNDARY 5432,"," 5432,"
"F: Welche Zahl ist kleiner, 719 oder 950? A:","['719', '950']",719,"UTT_BOUNDARY f: welche zahl ist kleiner, 719 oder 950? a:UTT_BOUNDARY 733 oder 6", 733 oder 6
"F: Von den Zahlen 782 und 274, welche ist kleiner? A:","['782', '274']",274,"UTT_BOUNDARY f: von den zahlen 782 und 274, welche ist kleiner? a:UTT_BOUNDARY 272 oder 88", 272 oder 88
"F: Welche Zahl ist kleiner, 239 oder 845? A:","['239', '845']",239,"UTT_BOUNDARY f: welche zahl ist kleiner, 239 oder 845? a:UTT_BOUNDARY 234 oder 85", 234 oder 85
Schreibe von den Zahlen 138 und 711 die kleinere: ,"['138', '711']",138,"UTT_BOUNDARY schreibe von den zahlen 138 und 711 die kleinere:UTT_BOUNDARY 1381, 9"," 1381, 9"
Schreibe von den Zahlen 739 und 684 die kleinere: ,"['739', '684']",684,"UTT_BOUNDARY schreibe von den zahlen 739 und 684 die kleinere:UTT_BOUNDARY 653, 94"," 653, 94"
"F: Welche Zahl ist kleiner, 599 oder 139? A:","['599', '139']",139,"UTT_BOUNDARY f: welche zahl ist kleiner, 599 oder 139? a:UTT_BOUNDARY 1341, 9"," 1341, 9"
"F: Welche Zahl ist kleiner, 804 oder 554? A:","['804', '554']",554,"UTT_BOUNDARY f: welche zahl ist kleiner, 804 oder 554? a:UTT_BOUNDARY 54926", 54926
"F: Welche Zahl ist kleiner, 16 oder 338? A:","['16', '338']",16,"UTT_BOUNDARY f: welche zahl ist kleiner, 16 oder 338? a:UTT_BOUNDARY 163? a:", 163? a:
Schreibe von den Zahlen 967 und 238 die kleinere: ,"['967', '238']",238,UTT_BOUNDARY schreibe von den zahlen 967 und 238 die kleinere:UTT_BOUNDARY 238 und 58, 238 und 58
"F: Von den Zahlen 258 und 283, welche ist kleiner? A:","['258', '283']",258,"UTT_BOUNDARY f: von den zahlen 258 und 283, welche ist kleiner? a:UTT_BOUNDARY 2821, 9"," 2821, 9"
Schreibe von den Zahlen 520 und 335 die kleinere: ,"['520', '335']",335,UTT_BOUNDARY schreibe von den zahlen 520 und 335 die kleinere:UTT_BOUNDARY 3383 und 6, 3383 und 6
Schreibe von den Zahlen 908 und 220 die kleinere: ,"['908', '220']",220,"UTT_BOUNDARY schreibe von den zahlen 908 und 220 die kleinere:UTT_BOUNDARY 312, 98"," 312, 98"
"F: Von den Zahlen 137 und 901, welche ist kleiner? A:","['137', '901']",137,"UTT_BOUNDARY f: von den zahlen 137 und 901, welche ist kleiner? a:UTT_BOUNDARY 131, 95"," 131, 95"
"F: Welche Zahl ist kleiner, 604 oder 733? A:","['604', '733']",604,"UTT_BOUNDARY f: welche zahl ist kleiner, 604 oder 733? a:UTT_BOUNDARY 732, 9"," 732, 9"
"F: Von den Zahlen 553 und 964, welche ist kleiner? A:","['553', '964']",553,"UTT_BOUNDARY f: von den zahlen 553 und 964, welche ist kleiner? a:UTT_BOUNDARY 5436 und", 5436 und
"F: Von den Zahlen 156 und 780, welche ist kleiner? A:","['156', '780']",156,"UTT_BOUNDARY f: von den zahlen 156 und 780, welche ist kleiner? a:UTT_BOUNDARY 1541, 9"," 1541, 9"
"F: Von den Zahlen 909 und 127, welche ist kleiner? A:","['909', '127']",127,"UTT_BOUNDARY f: von den zahlen 909 und 127, welche ist kleiner? a:UTT_BOUNDARY 1251, 9"," 1251, 9"
"F: Welche Zahl ist kleiner, 86 oder 840? A:","['86', '840']",86,"UTT_BOUNDARY f: welche zahl ist kleiner, 86 oder 840? a:UTT_BOUNDARY 8432 oder", 8432 oder
Schreibe von den Zahlen 658 und 614 die kleinere: ,"['658', '614']",614,"UTT_BOUNDARY schreibe von den zahlen 658 und 614 die kleinere:UTT_BOUNDARY 628, 9"," 628, 9"
"F: Welche Zahl ist kleiner, 934 oder 902? A:","['934', '902']",902,"UTT_BOUNDARY f: welche zahl ist kleiner, 934 oder 902? a:UTT_BOUNDARY 8059, 9"," 8059, 9"
"F: Welche Zahl ist kleiner, 730 oder 92? A:","['730', '92']",92,"UTT_BOUNDARY f: welche zahl ist kleiner, 730 oder 92? a:UTT_BOUNDARY 73292", 73292
Schreibe von den Zahlen 419 und 134 die kleinere: ,"['419', '134']",134,UTT_BOUNDARY schreibe von den zahlen 419 und 134 die kleinere:UTT_BOUNDARY 135 und 55, 135 und 55
"F: Welche Zahl ist kleiner, 314 oder 80? A:","['314', '80']",80,"UTT_BOUNDARY f: welche zahl ist kleiner, 314 oder 80? a:UTT_BOUNDARY 313? a:", 313? a:
"F: Welche Zahl ist kleiner, 987 oder 864? A:","['987', '864']",864,"UTT_BOUNDARY f: welche zahl ist kleiner, 987 oder 864? a:UTT_BOUNDARY 849, 9"," 849, 9"
"F: Von den Zahlen 708 und 826, welche ist kleiner? A:","['708', '826']",708,"UTT_BOUNDARY f: von den zahlen 708 und 826, welche ist kleiner? a:UTT_BOUNDARY 506? a:", 506? a:
"F: Welche Zahl ist kleiner, 951 oder 216? A:","['951', '216']",216,"UTT_BOUNDARY f: welche zahl ist kleiner, 951 oder 216? a:UTT_BOUNDARY 211, 95"," 211, 95"
"F: Welche Zahl ist kleiner, 421 oder 978? A:","['421', '978']",421,"UTT_BOUNDARY f: welche zahl ist kleiner, 421 oder 978? a:UTT_BOUNDARY 421 und 62", 421 und 62
"F: Welche Zahl ist kleiner, 607 oder 123? A:","['607', '123']",123,"UTT_BOUNDARY f: welche zahl ist kleiner, 607 oder 123? a:UTT_BOUNDARY 1251, 9"," 1251, 9"
"F: Welche Zahl ist kleiner, 883 oder 446? A:","['883', '446']",446,"UTT_BOUNDARY f: welche zahl ist kleiner, 883 oder 446? a:UTT_BOUNDARY 4465? a", 4465? a
"F: Von den Zahlen 378 und 180, welche ist kleiner? A:","['378', '180']",180,"UTT_BOUNDARY f: von den zahlen 378 und 180, welche ist kleiner? a:UTT_BOUNDARY 180 und 58", 180 und 58
