Input,Options,Expected,Output (raw),Predicted
"F: Welches Wort ist kürzer, ""wertlos"" oder ""namenlos""? A:","['wertlos', 'namenlos']",wertlos,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" w e r t l o s "" W o d e r W "" n a m e n l o s "" ? W a : UTT_BOUNDARY w e r t l o s . "" ? W a : UTT_BOUNDARY","wertlos.""? a:"
"F: Welches Wort ist kürzer, ""völlig"" oder ""daran""? A:","['völlig', 'daran']",daran,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" v ö l l i g "" W o d e r W "" d a r a n "" ? W a : UTT_BOUNDARY d a r a n "" ? W a : UTT_BOUNDARY","daran""? a:"
"F: Welches Wort ist kürzer, ""Abschied"" oder ""wertlos""? A:","['Abschied', 'wertlos']",wertlos,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" a b s c h i e d "" W o d e r W "" w e r t l o s "" ? W a : UTT_BOUNDARY w e r t l o s . "" , W w e l c h e s W w o r t W s","wertlos."", welches wort s"
"F: Welches Wort hat weniger Buchstaben, ""um"" oder ""all""? A:","['um', 'all']",um,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" u m "" W o d e r W "" a l l "" ? W a : UTT_BOUNDARY a l l e n "" ? W a : UTT_BOUNDARY","allen""? a:"
"Von den Wörtern ""Fachbücher"" und ""Polarität"", welches hat weniger Buchstaben? ","['Fachbücher', 'Polarität']",polarität,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" f a c h b ü c h e r "" W u n d W "" p o l a r i t ä t "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY p o l a r i t ä t e n "" , W w e l c h e s W w o r","polaritäten"", welches wor"
"F: Welches Wort ist kürzer, ""jemand"" oder ""nicht""? A:","['jemand', 'nicht']",nicht,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" j e m a n d "" W o d e r W "" n i c h t "" ? W a : UTT_BOUNDARY n i c h t s "" ? W a : UTT_BOUNDARY","nichts""? a:"
"F: Welches Wort ist kürzer, ""sollen"" oder ""brüllen""? A:","['sollen', 'brüllen']",sollen,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" s o l l e n "" W o d e r W "" b r ü l l e n "" ? W a : UTT_BOUNDARY s o l l e n W w i r W d a s W w e r d e n ? W a :",sollen wir das werden? a:
"Von den Wörtern ""variabel"" und ""Iteration"", welches hat weniger Buchstaben? ","['variabel', 'Iteration']",variabel,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" v a r i a b e l "" W u n d W "" i t e r a t i o n "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY v a r i a b e l W b e k a n n t e s t e n W f i l",variabel bekanntesten fil
"F: Welches Wort hat weniger Buchstaben, ""muss"" oder ""ist""? A:","['muss', 'ist']",ist,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" m u s s "" W o d e r W "" i s t "" ? W a : UTT_BOUNDARY i s t W d a s W e i n e W l a n g e W s t r e c k",ist das eine lange streck
"Von den Wörtern ""Oligarchie"" und ""Bedeutung"", welches hat weniger Buchstaben? ","['Oligarchie', 'Bedeutung']",bedeutung,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" o l i g a r c h i e "" W u n d W "" b e d e u t u n g "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY b e d e u t u n g s w ü r d e n "" ? UTT_BOUNDARY","bedeutungswürden""?"
"Von den Wörtern ""Obduktion"" und ""offensiv"", welches hat weniger Buchstaben? ","['Obduktion', 'offensiv']",offensiv,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" o b d u k t i o n "" W u n d W "" o f f e n s i v "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY o f f e n s i v e a u s w e i s "" ? UTT_BOUNDARY","offensiveausweis""?"
"F: Welches Wort hat weniger Buchstaben, ""im"" oder ""weg""? A:","['im', 'weg']",im,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" i m "" W o d e r W "" w e g "" ? W a : UTT_BOUNDARY i m W p a r k W h e u t e . "" ? W a : UTT_BOUNDARY","im park heute.""? a:"
"F: Welches Wort hat weniger Buchstaben, ""rot"" oder ""dann""? A:","['rot', 'dann']",rot,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" r o t "" W o d e r W "" d a n n "" ? W a : UTT_BOUNDARY r o t e s W a u t o . "" ? W a : UTT_BOUNDARY","rotes auto.""? a:"
"F: Welches Wort ist kürzer, ""Abschied"" oder ""ungerne""? A:","['Abschied', 'ungerne']",ungerne,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" a b s c h i e d "" W o d e r W "" u n g e r n e "" ? W a : UTT_BOUNDARY a b s c h i e d e n "" ? W a : UTT_BOUNDARY","abschieden""? a:"
"Von den Wörtern ""Plakatwand"" und ""Iteration"", welches hat weniger Buchstaben? ","['Plakatwand', 'Iteration']",iteration,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" p l a k a t w a n d "" W u n d W "" i t e r a t i o n "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY i t e r a t i o n s f ö r d e r u n g e n W w e r",iterationsförderungen wer
"F: Welches Wort hat weniger Buchstaben, ""daran"" oder ""heut""? A:","['daran', 'heut']",heut,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" d a r a n "" W o d e r W "" h e u t "" ? W a : UTT_BOUNDARY h e u t e "" ? W a : UTT_BOUNDARY","heute""? a:"
"F: Welches Wort ist kürzer, ""weinen"" oder ""unter""? A:","['weinen', 'unter']",unter,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" w e i n e n "" W o d e r W "" u n t e r "" ? W a : UTT_BOUNDARY u n t e r w e g s W i s t W d a s W e r s t e W w",unterwegs ist das erste w
"F: Welches Wort hat weniger Buchstaben, ""bald"" oder ""man""? A:","['bald', 'man']",man,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" b a l d "" W o d e r W "" m a n "" ? W a : UTT_BOUNDARY m a n W k a n n W s i c h W a l l e r d i n g s W",man kann sich allerdings 
"Von den Wörtern ""Robbenfell"" und ""Verzichts"", welches hat weniger Buchstaben? ","['Robbenfell', 'Verzichts']",verzichts,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" r o b b e n f e l l "" W u n d W "" v e r z i c h t s "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY v e r z i c h t s b a r e n W a b e n t e u e r n",verzichtsbaren abenteuern
"Von den Wörtern ""Machtwort"" und ""Wachmänner"", welches hat weniger Buchstaben? ","['Machtwort', 'Wachmänner']",machtwort,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" m a c h t w o r t "" W u n d W "" w a c h m ä n n e r "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY m a c h t w o r t W k o m m t W z u e r s t ? UTT_BOUNDARY",machtwort kommt zuerst?
"F: Welches Wort hat weniger Buchstaben, ""ein"" oder ""im""? A:","['ein', 'im']",im,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" e i n "" W o d e r W "" i m "" ? W a : UTT_BOUNDARY i m W p u b l i k u m . "" ? W a : UTT_BOUNDARY","im publikum.""? a:"
"F: Welches Wort hat weniger Buchstaben, ""sind"" oder ""der""? A:","['sind', 'der']",der,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" s i n d "" W o d e r W "" d e r "" ? W a : UTT_BOUNDARY d e r "" ? W a : UTT_BOUNDARY","der""? a:"
"F: Welches Wort hat weniger Buchstaben, ""sehr"" oder ""allen""? A:","['sehr', 'allen']",sehr,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" s e h r "" W o d e r W "" a l l e n "" ? W a : UTT_BOUNDARY s e h r W g u t . "" ? W a : UTT_BOUNDARY","sehr gut.""? a:"
"Von den Wörtern ""bedeutet"" und ""Bedeutung"", welches hat weniger Buchstaben? ","['bedeutet', 'Bedeutung']",bedeutet,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" b e d e u t e t "" W u n d W "" b e d e u t u n g "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY b e d e u t e t ? UTT_BOUNDARY",bedeutet?
"F: Welches Wort ist kürzer, ""Gebiss"" oder ""erzählt""? A:","['Gebiss', 'erzählt']",gebiss,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" g e b i s s "" W o d e r W "" e r z ä h l t "" ? W a : UTT_BOUNDARY e r z ä h l t W v o n W d e n W z e i t e n W d e",erzählt von den zeiten de
"Von den Wörtern ""Haarspitzen"" und ""Erinnerung"", welches hat weniger Buchstaben? ","['Haarspitzen', 'Erinnerung']",erinnerung,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" h a a r s p i t z e n "" W u n d W "" e r i n n e r u n g "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY e r i n n e r u n g e n W a n W "" h a a r "" ? UTT_BOUNDARY","erinnerungen an ""haar""?"
"Von den Wörtern ""gemeinsam"" und ""entwickeln"", welches hat weniger Buchstaben? ","['gemeinsam', 'entwickeln']",gemeinsam,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" g e m e i n s a m "" W u n d W "" e n t w i c k e l n "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY g e m e i n s a m e n W k o n z e n t r a t i o n",gemeinsamen konzentration
"F: Welches Wort ist kürzer, ""fragen"" oder ""würde""? A:","['fragen', 'würde']",würde,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" f r a g e n "" W o d e r W "" w ü r d e "" ? W a : UTT_BOUNDARY w ü r d e n W w i r W d a s W n i c h t W t u n ?",würden wir das nicht tun?
"F: Welches Wort hat weniger Buchstaben, ""der"" oder ""sehr""? A:","['der', 'sehr']",der,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" d e r "" W o d e r W "" s e h r "" ? W a : UTT_BOUNDARY d e r "" ? W a : UTT_BOUNDARY","der""? a:"
"F: Welches Wort ist kürzer, ""weinen"" oder ""könnt""? A:","['weinen', 'könnt']",könnt,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" w e i n e n "" W o d e r W "" k ö n n t "" ? W a : UTT_BOUNDARY k ö n n t e n "" ? W a : UTT_BOUNDARY","könnten""? a:"
"F: Welches Wort ist kürzer, ""sowie"" oder ""Bagger""? A:","['sowie', 'Bagger']",sowie,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" s o w i e "" W o d e r W "" b a g g e r "" ? W a : UTT_BOUNDARY s o w i e s o "" ? W a : UTT_BOUNDARY","sowieso""? a:"
"F: Welches Wort ist kürzer, ""völlig"" oder ""gedanke""? A:","['völlig', 'gedanke']",völlig,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" v ö l l i g "" W o d e r W "" g e d a n k e "" ? W a : UTT_BOUNDARY v ö l l i g W ü b e r z e u g e n d . "" ? W a : UTT_BOUNDARY","völlig überzeugend.""? a:"
"F: Welches Wort hat weniger Buchstaben, ""dann"" oder ""daran""? A:","['dann', 'daran']",dann,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" d a n n "" W o d e r W "" d a r a n "" ? W a : UTT_BOUNDARY d a n n W k a n n W m a n W a u c h W s a g e n .",dann kann man auch sagen.
"Von den Wörtern ""Kombination"" und ""Robbenfell"", welches hat weniger Buchstaben? ","['Kombination', 'Robbenfell']",robbenfell,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" k o m b i n a t i o n "" W u n d W "" r o b b e n f e l l "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY r o b b e n f e l l e r n ä h r u n g "" W o d e r","robbenfellernährung"" oder"
"F: Welches Wort hat weniger Buchstaben, ""zeit"" oder ""der""? A:","['zeit', 'der']",der,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" z e i t "" W o d e r W "" d e r "" ? W a : UTT_BOUNDARY d e r "" ? W a : UTT_BOUNDARY","der""? a:"
"F: Welches Wort hat weniger Buchstaben, ""wurde"" oder ""will""? A:","['wurde', 'will']",will,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" w u r d e "" W o d e r W "" w i l l "" ? W a : UTT_BOUNDARY w i l l s t W d u W d a s W w i s s e n ? W w i l",willst du das wissen? wil
"Von den Wörtern ""gemeinsam"" und ""irgendwo"", welches hat weniger Buchstaben? ","['gemeinsam', 'irgendwo']",irgendwo,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" g e m e i n s a m "" W u n d W "" i r g e n d w o "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY i r g e n d w o "" W o d e r W "" o b d u k t i o n","irgendwo"" oder ""obduktion"
"F: Welches Wort hat weniger Buchstaben, ""und"" oder ""nach""? A:","['und', 'nach']",und,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" u n d "" W o d e r W "" n a c h "" ? W a : UTT_BOUNDARY u n d W w e n n W d i e W f r a u W d a n n W a u",und wenn die frau dann au
"F: Welches Wort hat weniger Buchstaben, ""der"" oder ""sich""? A:","['der', 'sich']",der,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" d e r "" W o d e r W "" s i c h "" ? W a : UTT_BOUNDARY d e r "" ? W a : UTT_BOUNDARY","der""? a:"
"F: Welches Wort ist kürzer, ""Anteil"" oder ""ungerne""? A:","['Anteil', 'ungerne']",anteil,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" a n t e i l "" W o d e r W "" u n g e r n e "" ? W a : UTT_BOUNDARY a n t e i l i g . W a : UTT_BOUNDARY",anteilig. a:
"F: Welches Wort hat weniger Buchstaben, ""ab"" oder ""nun""? A:","['ab', 'nun']",ab,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" a b "" W o d e r W "" n u n "" ? W a : UTT_BOUNDARY a b h o l e n ? W a : UTT_BOUNDARY",abholen? a:
"F: Welches Wort hat weniger Buchstaben, ""es"" oder ""das""? A:","['es', 'das']",es,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" e s "" W o d e r W "" d a s "" ? W a : UTT_BOUNDARY d a s W w o r t W s c h e i n t W m i r W s e h r",das wort scheint mir sehr
"F: Welches Wort hat weniger Buchstaben, ""ganz"" oder ""sie""? A:","['ganz', 'sie']",sie,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" g a n z "" W o d e r W "" s i e "" ? W a : UTT_BOUNDARY s i e W s c h r e i b t W e i n e W e - m a i l W",sie schreibt eine e-mail 
"F: Welches Wort hat weniger Buchstaben, ""mehr"" oder ""unter""? A:","['mehr', 'unter']",mehr,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" m e h r "" W o d e r W "" u n t e r "" ? W a : UTT_BOUNDARY m e h r e r e m a l W s o w i e s o . "" ? W a : UTT_BOUNDARY","mehreremal sowieso.""? a:"
"F: Welches Wort ist kürzer, ""bestens"" oder ""sehen ""? A:","['bestens', 'sehen ']",sehen,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" b e s t e n s "" W o d e r W "" s e h e n W "" ? W a : UTT_BOUNDARY s e h e n W s i e "" ? W a : UTT_BOUNDARY","sehen sie""? a:"
"F: Welches Wort ist kürzer, ""fragen"" oder ""mehrere""? A:","['fragen', 'mehrere']",fragen,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" f r a g e n "" W o d e r W "" m e h r e r e "" ? W a : UTT_BOUNDARY f r a g e n . "" , W w e l c h e s W w o r t W s t","fragen."", welches wort st"
"Von den Wörtern ""gasförmig"" und ""Fachbücher"", welches hat weniger Buchstaben? ","['gasförmig', 'Fachbücher']",gasförmig,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" g a s f ö r m i g "" W u n d W "" f a c h b ü c h e r "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY g a s f ö r m i g e n W f a m i l i e n "" , W w e","gasförmigen familien"", we"
"F: Welches Wort hat weniger Buchstaben, ""nun"" oder ""am""? A:","['nun', 'am']",am,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" n u n "" W o d e r W "" a m "" ? W a : UTT_BOUNDARY a m "" ? W a : UTT_BOUNDARY","am""? a:"
"Von den Wörtern ""Verbindung"" und ""verstehen"", welches hat weniger Buchstaben? ","['Verbindung', 'verstehen']",verstehen,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" v e r b i n d u n g "" W u n d W "" v e r s t e h e n "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY v e r s t e h e n d e W o f f i z i e r "" ? W a :","verstehende offizier""? a:"
"F: Welches Wort ist kürzer, ""laufen"" oder ""erzählt""? A:","['laufen', 'erzählt']",laufen,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" l a u f e n "" W o d e r W "" e r z ä h l t "" ? W a : UTT_BOUNDARY l a u f e n "" ? W a : UTT_BOUNDARY","laufen""? a:"
"F: Welches Wort ist kürzer, ""besser"" oder ""dabei""? A:","['besser', 'dabei']",dabei,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" b e s s e r "" W o d e r W "" d a b e i "" ? W a : UTT_BOUNDARY d a b e i "" ? W a : UTT_BOUNDARY","dabei""? a:"
"Von den Wörtern ""Verzichts"" und ""variabel"", welches hat weniger Buchstaben? ","['Verzichts', 'variabel']",variabel,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" v e r z i c h t s "" W u n d W "" v a r i a b e l "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY v a r i a b e l W b e w e g l i c h e r W b e w e",variabel beweglicher bewe
"F: Welches Wort hat weniger Buchstaben, ""ob"" oder ""das""? A:","['ob', 'das']",ob,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" o b "" W o d e r W "" d a s "" ? W a : UTT_BOUNDARY o b d u k t i o n i e r t "" ? W a : UTT_BOUNDARY","obduktioniert""? a:"
"Von den Wörtern ""Robbenfell"" und ""gasförmig"", welches hat weniger Buchstaben? ","['Robbenfell', 'gasförmig']",gasförmig,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" r o b b e n f e l l "" W u n d W "" g a s f ö r m i g "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY g a s f ö r m i g e n W f a r b e n . "" W a : UTT_BOUNDARY","gasförmigen farben."" a:"
"F: Welches Wort hat weniger Buchstaben, ""weg"" oder ""du""? A:","['weg', 'du']",du,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" w e g "" W o d e r W "" d u "" ? W a : UTT_BOUNDARY d u W w e i n s t , W w e n n W d u W w e i n s t","du weinst, wenn du weinst"
"Von den Wörtern ""Gleichstand"" und ""Verhältnis"", welches hat weniger Buchstaben? ","['Gleichstand', 'Verhältnis']",verhältnis,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" g l e i c h s t a n d "" W u n d W "" v e r h ä l t n i s "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY v e r h ä l t n i s s e n t w i c k e l n "" ? UTT_BOUNDARY","verhältnissentwickeln""?"
"F: Welches Wort ist kürzer, ""Gebiss"" oder ""anderen""? A:","['Gebiss', 'anderen']",gebiss,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" g e b i s s "" W o d e r W "" a n d e r e n "" ? W a : UTT_BOUNDARY g e b i s s e n e n W a b e n d e s s e n . "" ? W","gebissenen abendessen.""? "
"F: Welches Wort hat weniger Buchstaben, ""kann"" oder ""allen""? A:","['kann', 'allen']",kann,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" k a n n "" W o d e r W "" a l l e n "" ? W a : UTT_BOUNDARY k a n n s t W d u W d a s W e r k e n n e n ? W a",kannst du das erkennen? a
"Von den Wörtern ""Kreativen"" und ""Robbenfell"", welches hat weniger Buchstaben? ","['Kreativen', 'Robbenfell']",kreativen,"UTT_BOUNDARY v o n W d e n W w ö r t e r n W "" k r e a t i v e n "" W u n d W "" r o b b e n f e l l "" , W w e l c h e s W h a t W w e n i g e r W b u c h s t a b e n ? UTT_BOUNDARY k r e a t i v e n W k r e a t i v e n . "" , W w e","kreativen kreativen."", we"
"F: Welches Wort ist kürzer, ""haben"" oder ""völlig""? A:","['haben', 'völlig']",haben,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" h a b e n "" W o d e r W "" v ö l l i g "" ? W a : UTT_BOUNDARY h a b e n W w i r W d e n W e r s t e n W t a g W",haben wir den ersten tag 
"F: Welches Wort hat weniger Buchstaben, ""daran"" oder ""nach""? A:","['daran', 'nach']",nach,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" d a r a n "" W o d e r W "" n a c h "" ? W a : UTT_BOUNDARY n a c h h e r W s i n d W w i r W a u f W d e m W",nachher sind wir auf dem 
"F: Welches Wort hat weniger Buchstaben, ""bald"" oder ""nie""? A:","['bald', 'nie']",nie,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" b a l d "" W o d e r W "" n i e "" ? W a : UTT_BOUNDARY n i e m a n d W k a n n W s i c h W a l l e r d i",niemand kann sich allerdi
"F: Welches Wort hat weniger Buchstaben, ""allen"" oder ""zeit""? A:","['allen', 'zeit']",zeit,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" a l l e n "" W o d e r W "" z e i t "" ? W a : UTT_BOUNDARY z e i t u n g "" ? W a : UTT_BOUNDARY","zeitung""? a:"
"F: Welches Wort hat weniger Buchstaben, ""ist"" oder ""ja""? A:","['ist', 'ja']",ja,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" i s t "" W o d e r W "" j a "" ? W a : UTT_BOUNDARY j a "" ? W a : UTT_BOUNDARY","ja""? a:"
"F: Welches Wort hat weniger Buchstaben, ""im"" oder ""all""? A:","['im', 'all']",im,"UTT_BOUNDARY f : W w e l c h e s W w o r t W h a t W w e n i g e r W b u c h s t a b e n , W "" i m "" W o d e r W "" a l l "" ? W a : UTT_BOUNDARY i m a g e n t u m "" ? W a : UTT_BOUNDARY","imagentum""? a:"
"F: Welches Wort ist kürzer, ""reden"" oder ""besser""? A:","['reden', 'besser']",reden,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" r e d e n "" W o d e r W "" b e s s e r "" ? W a : UTT_BOUNDARY r e d e n "" ? W a : UTT_BOUNDARY","reden""? a:"
"F: Welches Wort ist kürzer, ""mulmig"" oder ""darüber""? A:","['mulmig', 'darüber']",mulmig,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" m u l m i g "" W o d e r W "" d a r ü b e r "" ? W a : UTT_BOUNDARY m u l m i g e r "" ? W a : UTT_BOUNDARY","mulmiger""? a:"
"F: Welches Wort ist kürzer, ""brüllen"" oder ""einmal""? A:","['brüllen', 'einmal']",einmal,"UTT_BOUNDARY f : W w e l c h e s W w o r t W i s t W k ü r z e r , W "" b r ü l l e n "" W o d e r W "" e i n m a l "" ? W a : UTT_BOUNDARY e i n m a l "" ? W a : UTT_BOUNDARY","einmal""? a:"
