Input,Options,Expected,Output (raw),Predicted
"F: Welches Wort ist kürzer, ""beenden"" oder ""entsteht""? A:","['beenden', 'entsteht']",beenden,"UTT_BOUNDARY f: welches wort ist kürzer, ""beenden"" oder ""entsteht""? a:UTT_BOUNDARY beenden""? a:UTT_BOUNDARY"," beenden""? a:"
"F: Welches Wort ist kürzer, ""ein"" oder ""hier""? A:","['ein', 'hier']",ein,"UTT_BOUNDARY f: welches wort ist kürzer, ""ein"" oder ""hier""? a:UTT_BOUNDARY ein wort, das ist"," ein wort, das ist"
"F: Welches Wort ist kürzer, ""solches"" oder ""offensiv""? A:","['solches', 'offensiv']",solches,"UTT_BOUNDARY f: welches wort ist kürzer, ""solches"" oder ""offensiv""? a:UTT_BOUNDARY solches wort steht im satz", solches wort steht im satz
"F: Welches Wort hat weniger Buchstaben, ""zeit"" oder ""völlig""? A:","['zeit', 'völlig']",zeit,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""zeit"" oder ""völlig""? a:UTT_BOUNDARY zeitlich"" oder """," zeitlich"" oder """
"Von den Wörtern ""verloren"" und ""zeit"", welches hat weniger Buchstaben? ","['verloren', 'zeit']",zeit,"UTT_BOUNDARY von den wörtern ""verloren"" und ""zeit"", welches hat weniger buchstaben?UTT_BOUNDARY zeitlichere folgen hat", zeitlichere folgen hat
"F: Welches Wort ist kürzer, ""der"" oder ""viel""? A:","['der', 'viel']",der,"UTT_BOUNDARY f: welches wort ist kürzer, ""der"" oder ""viel""? a:UTT_BOUNDARY der lehrer erklärt die neue", der lehrer erklärt die neue
"F: Welches Wort ist kürzer, ""zeit"" oder ""ehe""? A:","['zeit', 'ehe']",ehe,"UTT_BOUNDARY f: welches wort ist kürzer, ""zeit"" oder ""ehe""? a:UTT_BOUNDARY ehe"" oder ""ich"," ehe"" oder ""ich"
"Von den Wörtern ""Gleichheiten"" und ""auch"", welches hat weniger Buchstaben? ","['Gleichheiten', 'auch']",auch,"UTT_BOUNDARY von den wörtern ""gleichheiten"" und ""auch"", welches hat weniger buchstaben?UTT_BOUNDARY auch wirklich nicht."" a"," auch wirklich nicht."" a"
"F: Welches Wort hat weniger Buchstaben, ""lang"" oder ""wissen""? A:","['lang', 'wissen']",lang,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""lang"" oder ""wissen""? a:UTT_BOUNDARY lang nach dem wort """," lang nach dem wort """
"Von den Wörtern ""Abschied"" und ""heut"", welches hat weniger Buchstaben? ","['Abschied', 'heut']",heut,"UTT_BOUNDARY von den wörtern ""abschied"" und ""heut"", welches hat weniger buchstaben?UTT_BOUNDARY heutiger abend? a", heutiger abend? a
"Von den Wörtern ""umgänglicher"" und ""heut"", welches hat weniger Buchstaben? ","['umgänglicher', 'heut']",heut,"UTT_BOUNDARY von den wörtern ""umgänglicher"" und ""heut"", welches hat weniger buchstaben?UTT_BOUNDARY heutiger.""? a"," heutiger.""? a"
"F: Welches Wort hat weniger Buchstaben, ""nach"" oder ""jemand""? A:","['nach', 'jemand']",nach,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""nach"" oder ""jemand""? a:UTT_BOUNDARY nach dem wort ""sehen"," nach dem wort ""sehen"
"F: Welches Wort hat weniger Buchstaben, ""ungerne"" oder ""all""? A:","['ungerne', 'all']",all,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""ungerne"" oder ""all""? a:UTT_BOUNDARY alligatorium""?"," alligatorium""?"
"F: Welches Wort ist kürzer, ""abholen"" oder ""offensiv""? A:","['abholen', 'offensiv']",abholen,"UTT_BOUNDARY f: welches wort ist kürzer, ""abholen"" oder ""offensiv""? a:UTT_BOUNDARY abholen im urlaub.""?"," abholen im urlaub.""?"
"Von den Wörtern ""graben"" und ""unter"", welches hat weniger Buchstaben? ","['graben', 'unter']",unter,"UTT_BOUNDARY von den wörtern ""graben"" und ""unter"", welches hat weniger buchstaben?UTT_BOUNDARY unter den bäumen? a", unter den bäumen? a
"F: Welches Wort hat weniger Buchstaben, ""zu"" oder ""der""? A:","['zu', 'der']",zu,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""zu"" oder ""der""? a:UTT_BOUNDARY zu hause zu hause."""," zu hause zu hause."""
"F: Welches Wort ist kürzer, ""war"" oder ""um""? A:","['war', 'um']",um,"UTT_BOUNDARY f: welches wort ist kürzer, ""war"" oder ""um""? a:UTT_BOUNDARY umgänglicher"""," umgänglicher"""
"F: Welches Wort hat weniger Buchstaben, ""gezeigt"" oder ""und""? A:","['gezeigt', 'und']",und,"UTT_BOUNDARY f: welches wort hat weniger buchstaben, ""gezeigt"" oder ""und""? a:UTT_BOUNDARY und und und und und", und und und und und
"Von den Wörtern ""Anteil"" und ""daher"", welches hat weniger Buchstaben? ","['Anteil', 'daher']",daher,"UTT_BOUNDARY von den wörtern ""anteil"" und ""daher"", welches hat weniger buchstaben?UTT_BOUNDARY daher daher daher daher daher", daher daher daher daher daher
