Input,Options,Expected,Output (raw),Predicted
"Q: Which is a rhyme of the word ""square"", ""fair"" or ""signature""? A:","['fair', 'signature']",fair,"UTT_BOUNDARY q: which is a rhyme of the word ""square"", ""fair"" or ""signature""? a:UTT_BOUNDARY pair of sirens-", pair of sirens-
"Q: Which is a rhyme of the word ""score"", ""nightmare"" or ""war""? A:","['war', 'nightmare']",war,"UTT_BOUNDARY q: which is a rhyme of the word ""score"", ""nightmare"" or ""war""? a:UTT_BOUNDARY war is the same.", war is the same.
"Q: Which is a rhyme of the word ""explain"", ""dolphin"" or ""plane""? A:","['plane', 'dolphin']",plane,"UTT_BOUNDARY q: which is a rhyme of the word ""explain"", ""dolphin"" or ""plane""? a:UTT_BOUNDARY plane""? a:UTT_BOUNDARY"," plane""? a:"
"Q: Which word rhymes with the word ""away"", ""weigh"" or ""subway""? A:","['weigh', 'subway']",weigh,"UTT_BOUNDARY q: which word rhymes with the word ""away"", ""weigh"" or ""subway""? a:UTT_BOUNDARY weighdown. a:", weighdown. a:
"Q: Of the words ""open"" and ""routine"", which one rhymes with ""queen""? A:","['routine', 'open']",routine,"UTT_BOUNDARY q: of the words ""open"" and ""routine"", which one rhymes with ""queen""? a:UTT_BOUNDARY routine. a:UTT_BOUNDARY", routine. a:
"Q: Which is a rhyme of the word ""meet"", ""net"" or ""delete""? A:","['delete', 'net']",delete,"UTT_BOUNDARY q: which is a rhyme of the word ""meet"", ""net"" or ""delete""? a:UTT_BOUNDARY delete? a:", delete? a:
"Q: Which is a rhyme of the word ""few"", ""shampoo"" or ""nephew""? A:","['shampoo', 'nephew']",shampoo,"UTT_BOUNDARY q: which is a rhyme of the word ""few"", ""shampoo"" or ""nephew""? a:UTT_BOUNDARY shampoo bottle. a:", shampoo bottle. a:
"Q: Of the words ""dressed"" and ""priest"", which one rhymes with ""suggest""? A:","['dressed', 'priest']",dressed,"UTT_BOUNDARY q: of the words ""dressed"" and ""priest"", which one rhymes with ""suggest""? a:UTT_BOUNDARY dressed in a neat suit", dressed in a neat suit
"Q: Which word rhymes with the word ""include"", ""food"" or ""ride""? A:","['food', 'ride']",food,"UTT_BOUNDARY q: which word rhymes with the word ""include"", ""food"" or ""ride""? a:UTT_BOUNDARY food and food and food", food and food and food
"Q: Of the words ""alone"" and ""clean"", which one rhymes with ""routine""? A:","['clean', 'alone']",clean,"UTT_BOUNDARY q: of the words ""alone"" and ""clean"", which one rhymes with ""routine""? a:UTT_BOUNDARY cleaner song ""sc"," cleaner song ""sc"
