Sen,Sen_ppl,Wrong_Sen,Wrong_Sen_ppl,Score
"Ok, da hätte uns eigentlich schon was komisch vorkommen müssen.",3094.903076171875,"Ok, da hätten uns eigentlich schon was komisch vorkommen müssen.",3226.474853515625,1
Dadurch sollte Jahre später das Königreich Powys an die Herrscher des Königreiches Gwynedd fallen.,1286.0489501953125,Dadurch sollten Jahre später das Königreich Powys an die Herrscher des Königreiches Gwynedd fallen.,1161.432373046875,0
"Daher sei eine thermoregulatorische Funktion, falls überhaupt, nur in einigen Stegosauriern vorgekommen und habe allenfalls eine untergeordnete Rolle gespielt.",1044.444091796875,"Daher seien eine thermoregulatorische Funktion, falls überhaupt, nur in einigen Stegosauriern vorgekommen und habe allenfalls eine untergeordnete Rolle gespielt.",1142.2821044921875,1
Von einer tatsächlichen Verbesserung der Lage auf den Autobahnen und Landstraßen konnte denn angesichts dieses Katz- und Maus-Spieles an dem Montag nachmittag keine Rede sein.,620.27880859375,Von einer tatsächlichen Verbesserung der Lage auf den Autobahnen und Landstraßen konnten denn angesichts dieses Katz- und Maus-Spieles an dem Montag nachmittag keine Rede sein.,710.4010620117188,1
"Da die Ostsee zugefroren war, konnte aus Schweden zunächst keine Verstärkung kommen.",646.1598510742188,"Da die Ostsee zugefroren war, konnten aus Schweden zunächst keine Verstärkung kommen.",798.448974609375,1
"Mit ihm zusammengewachsen ist der in dem Mittelalter bedeutendste Ortsteil Adelwil (1,8 km nordöstlich des Dorfs;)",662.6278076171875,"Mit ihm zusammengewachsen sind der in dem Mittelalter bedeutendste Ortsteil Adelwil (1,8 km nordöstlich des Dorfs;)",823.496337890625,1
"In dem vergangenen Jahr war ein fix und fertig ausgehandelter Vertrag zwischen dem südkoreanischen Konzern Samsung und Fokker in dem letzten Moment geplatzt, weil die Regierung in Den Haag nicht zu den von den Asiaten verlangten Garantien bereit war.",276.56097412109375,"In dem vergangenen Jahr waren ein fix und fertig ausgehandelter Vertrag zwischen dem südkoreanischen Konzern Samsung und Fokker in dem letzten Moment geplatzt, weil die Regierung in Den Haag nicht zu den von den Asiaten verlangten Garantien bereit war.",290.29010009765625,1
"Mit dem nach dorthin aufstrebendem Dach wird die Assoziation geweckt, als würde das ""Fischerboot"" mit dem Bug gegen eine Welle fahren.",385.13714599609375,"Mit dem nach dorthin aufstrebendem Dach wird die Assoziation geweckt, als würden das ""Fischerboot"" mit dem Bug gegen eine Welle fahren.",588.0449829101562,1
"Dennoch ist hier eine durchaus originelle und einmalige Chorlösung entstanden, die sich von dem Heilig - Kreuz - Münster in Schwäbisch Gmünd und von dem Veitsdom in Prag deutlich abhebt.",794.9641723632812,"Dennoch sind hier eine durchaus originelle und einmalige Chorlösung entstanden, die sich von dem Heilig - Kreuz - Münster in Schwäbisch Gmünd und von dem Veitsdom in Prag deutlich abhebt.",947.2611083984375,1
"Obwohl Warhol in dem Mai 1965 bei Ileana Sonnabend in Paris verkündet hatte, dass er sich nun von der Malerei zurückziehen wolle, sollte in dem April 1966 eine Ausstellung in der New Yorker Galerie von Leo Castelli stattfinden.",352.648681640625,"Obwohl Warhol in dem Mai 1965 bei Ileana Sonnabend in Paris verkündet hatte, dass er sich nun von der Malerei zurückziehen wolle, sollten in dem April 1966 eine Ausstellung in der New Yorker Galerie von Leo Castelli stattfinden.",381.0534973144531,1
Dank der Antibiotika sei eine größere Epidemie nicht zu befürchten.,246.9552764892578,Dank der Antibiotika seien eine größere Epidemie nicht zu befürchten.,284.75140380859375,1
"Da deren Entfaltung allerdings Zeit beanspruchen würde, sollte eine Kavallerie - Attacke der englischen Reiterei unter Lord George Sackville (1716-1785) die beiden französischen Brigaden zurückwerfen.",826.5243530273438,"Da deren Entfaltung allerdings Zeit beanspruchen würde, sollten eine Kavallerie - Attacke der englischen Reiterei unter Lord George Sackville (1716-1785) die beiden französischen Brigaden zurückwerfen.",926.8294067382812,1
An der Revolution von 1848 hatte sich der überzeugte Demokrat mit engagierten Reden beteiligt.,1445.287353515625,An der Revolution von 1848 hatten sich der überzeugte Demokrat mit engagierten Reden beteiligt.,3114.916748046875,1
"Tolles Personal, auch für meine Familie war der Umzugsstress gut zu verkraften.",497.41656494140625,"Tolles Personal, auch für meine Familie waren der Umzugsstress gut zu verkraften.",648.1817626953125,1
In dem Zuge der Kurskorrektur habe sich auch die Struktur der Käufer geändert.,349.12469482421875,In dem Zuge der Kurskorrektur haben sich auch die Struktur der Käufer geändert.,419.1364440917969,1
"Seit den 1960ern ist die südkoreanische Wirtschaft stark angewachsen, und die Wirtschaftsstruktur hat sich radikal verändert.",140.28518676757812,"Seit den 1960ern sind die südkoreanische Wirtschaft stark angewachsen, und die Wirtschaftsstruktur hat sich radikal verändert.",185.9059295654297,1
"Aufgetreten ist dieses räumliche Migrationsphänomen in (West) - Deutschland während der 1960er - und 1970er - Jahren, als viele Menschen sich mit dem Geld des Wirtschaftswunders ein Eigenheim außerhalb der großen Städte bauten (Vgl. Suburbanisierung).",736.2924194335938,"Aufgetreten sind dieses räumliche Migrationsphänomen in (West) - Deutschland während der 1960er - und 1970er - Jahren, als viele Menschen sich mit dem Geld des Wirtschaftswunders ein Eigenheim außerhalb der großen Städte bauten (Vgl. Suburbanisierung).",819.321533203125,1
In dieser Nachricht hatte der ehemalige Jusitzminister Brice Hortefeux als „faschistischen schwachsinnigen Innenminister“ und als „Gangster“ tituliert.,5073.51318359375,In dieser Nachricht hatten der ehemalige Jusitzminister Brice Hortefeux als „faschistischen schwachsinnigen Innenminister“ und als „Gangster“ tituliert.,6481.818359375,1
"„Mehr Menschen nehmen Kredite auf … Während das Leihen gerade leicht zu bewältigen sein mag, könnte eine plötzliche Änderung der Umstände zu Schuldenproblemen führen.“",2601.30126953125,"„Mehr Menschen nehmen Kredite auf … Während das Leihen gerade leicht zu bewältigen sein mag, könnten eine plötzliche Änderung der Umstände zu Schuldenproblemen führen.“",2830.893310546875,1
Damit ist Code von GNU Classpath in die offizielle Implementierung der Java - Plattform eingeflossen.,2139.566162109375,Damit sind Code von GNU Classpath in die offizielle Implementierung der Java - Plattform eingeflossen.,2733.72705078125,1
In Anhui und Henan hatte die lokale Führung gegen Ende der Hungersnot 1959 bis 1961 die Familienbetriebe in der Landwirtschaft wieder eingeführt.,895.980224609375,In Anhui und Henan hatten die lokale Führung gegen Ende der Hungersnot 1959 bis 1961 die Familienbetriebe in der Landwirtschaft wieder eingeführt.,1007.7408447265625,1
"Nach den Plänen seiner Pflegeeltern sollte er einmal den Bauernhof übernehmen, und so wurde ihm der Besuch des Gymnasiums verwehrt.",328.3373718261719,"Nach den Plänen seiner Pflegeeltern sollte er einmal den Bauernhof übernehmen, und so wurden ihm der Besuch des Gymnasiums verwehrt.",486.1173400878906,1
An dem Mittwochabend hatte das von den Republikanern beherrschte Abgeordnetenhaus auf bislang erhobene Forderungen nach tiefen Einschnitten bei der Gesundheitsversorgung für ältere Menschen verzichtet.,567.5996704101562,An dem Mittwochabend hatten das von den Republikanern beherrschte Abgeordnetenhaus auf bislang erhobene Forderungen nach tiefen Einschnitten bei der Gesundheitsversorgung für ältere Menschen verzichtet.,716.304443359375,1
"``Total überflüssig'', hatte der CDU-Parlamentarier Klaus Lippold geurteilt und lauten Beifall erhalten.",1654.1107177734375,"``Total überflüssig'', hatten der CDU-Parlamentarier Klaus Lippold geurteilt und lauten Beifall erhalten.",2123.0625,1
"Der Vorsitzende der Armutskonferenz in Potsdam, Ruth Brand, sagte an dem Rande der Generalversammlung der Europa -- Organisation, zwischen 1983 und 1993 habe sich die Zahl der Sozialhilfeempfänger in Deutschland vervierfacht.",333.60589599609375,"Der Vorsitzende der Armutskonferenz in Potsdam, Ruth Brand, sagte an dem Rande der Generalversammlung der Europa -- Organisation, zwischen 1983 und 1993 haben sich die Zahl der Sozialhilfeempfänger in Deutschland vervierfacht.",348.613525390625,1
"Weiterhin negativ aufgefallen ist der schlechte Service dadurch, dass beispielsweise nicht darauf geachtet wurde, ob noch ausreichend Munition vorhanden ist.",652.4623413085938,"Weiterhin negativ aufgefallen sind der schlechte Service dadurch, dass beispielsweise nicht darauf geachtet wurde, ob noch ausreichend Munition vorhanden ist.",741.8695068359375,1
Bei einer Störung vergangenen Winter konnte mir der Wochenend - Notdienst telefonisch weiterhelfen.,2997.378173828125,Bei einer Störung vergangenen Winter konnten mir der Wochenend - Notdienst telefonisch weiterhelfen.,3385.650146484375,1
Bei der Unterhauswahl 2010 konnte die Labour Party alle sieben Wahlkreise gewinnen.,497.4670715332031,Bei der Unterhauswahl 2010 konnten die Labour Party alle sieben Wahlkreise gewinnen.,814.4365234375,1
Trotz inflationärer Verbreitung des IP - Labels sei der Pflanzenschutzmittelaufwand in vielen Obstanbaugebieten weiter gestiegen.,976.33642578125,Trotz inflationärer Verbreitung des IP - Labels seien der Pflanzenschutzmittelaufwand in vielen Obstanbaugebieten weiter gestiegen.,1105.1988525390625,1
"Die Dresdener Caritas-Vorsitzende Eva Maria Kiklas berichtete, in Ostdeutschland sei die Unterschriftensammlung zögernd angelaufen;",2327.734375,"Die Dresdener Caritas-Vorsitzende Eva Maria Kiklas berichtete, in Ostdeutschland seien die Unterschriftensammlung zögernd angelaufen;",2522.910400390625,1
Leider verspricht die Firma die Ware in ca. 7 Tagen zu liefern aber nach 8 Tagen ist immer noch keine Ware angekommen.,2724.12109375,Leider verspricht die Firma die Ware in ca. 7 Tagen zu liefern aber nach 8 Tagen sind immer noch keine Ware angekommen.,2922.074951171875,1
"Auf Grund dieser Frage müsste der Mann zugeben, dass zu Hause nicht er die ""Hosen anhat"", sondern seine Frau, was er in dem Radio offen bekundet.",934.0260009765625,"Auf Grund dieser Frage müssten der Mann zugeben, dass zu Hause nicht er die ""Hosen anhat"", sondern seine Frau, was er in dem Radio offen bekundet.",1370.8385009765625,1
"Orbisons Wunsch nach großen Orchesterproduktionen wollte ihm Produzent Jack Clement bei Sun Records nicht erfüllen, denn ""aus Dir wird nie ein Balladensänger.""",1083.8094482421875,"Orbisons Wunsch nach großen Orchesterproduktionen wollten ihm Produzent Jack Clement bei Sun Records nicht erfüllen, denn ""aus Dir wird nie ein Balladensänger.""",1084.6263427734375,1
An dem Montag werde der Aufsichtsrat über mögliche personelle Konsequenzen entscheiden.,3574.90234375,An dem Montag werden der Aufsichtsrat über mögliche personelle Konsequenzen entscheiden.,2901.5615234375,0
"Weltkriegs 1914 war der Fahrzeugbestand auf 90 Lokomotiven, 340 Reisezug - und 1.338 Güterwagen angewachsen und sank in der Folgezeit bis zu der Verstaatlichung 1938 wieder etwas ab.",537.465087890625,"Weltkriegs 1914 waren der Fahrzeugbestand auf 90 Lokomotiven, 340 Reisezug - und 1.338 Güterwagen angewachsen und sank in der Folgezeit bis zu der Verstaatlichung 1938 wieder etwas ab.",548.4345092773438,1
"An dem Samstag hatte die spanische Polizei acht bewaffnete deutsche Skinheads festgenommen, die an der Kundgebung teilnehmen wollten.",380.46795654296875,"An dem Samstag hatten die spanische Polizei acht bewaffnete deutsche Skinheads festgenommen, die an der Kundgebung teilnehmen wollten.",416.616455078125,1
Bis 1929 ist keine Schrift Bachtins unter seinem eigenen Namen erschienen.,2952.253662109375,Bis 1929 sind keine Schrift Bachtins unter seinem eigenen Namen erschienen.,5921.70947265625,1
Dem Bericht zufolge dürfte das Defizit in der laufenden Periode noch über 160 Billionen Lire liegen.,534.4635009765625,Dem Bericht zufolge dürften das Defizit in der laufenden Periode noch über 160 Billionen Lire liegen.,689.8848876953125,1
"In dem obigen Beispiel würde jemand so lange suchen, bis er die optimale Nähnadel zu dem Stopfen der Socken gefunden hat.",563.7769165039062,"In dem obigen Beispiel würden jemand so lange suchen, bis er die optimale Nähnadel zu dem Stopfen der Socken gefunden hat.",776.1083374023438,1
