Input,Options,Expected,Predicted
"F: Welches Wort ist laenger, ""gezeigt"" oder ""tadellos""? A:","['gezeigt', 'tadellos']",tadellos," gezeigt""?"
"F: Welches Wort ist laenger, ""mulmig"" oder ""wertlos""? A:","['mulmig', 'wertlos']",wertlos, mulmigos?
"F: Welches Wort ist laenger, ""gespuert"" oder ""voellig""? A:","['gespuert', 'voellig']",gespuert, voellig?
"F: Welches Wort hat mehr Buchstaben, ""all"" oder ""um""? A:","['all', 'um']",all, all i want to do
"Von den Woertern ""verbindung"" und ""verlusten"", welches hat mehr Buchstaben? ","['verbindung', 'verlusten']",verbindung, verlusten?
"F: Welches Wort ist laenger, ""graben"" oder ""allen""? A:","['graben', 'allen']",graben," allen""? a:"
"F: Welches Wort ist laenger, ""denken"" oder ""solches""? A:","['denken', 'solches']",solches, solches wort i
"Von den Woertern ""wirklich"" und ""jobcenter"", welches hat mehr Buchstaben? ","['wirklich', 'jobcenter']",jobcenter," jobcenter""?"
"F: Welches Wort hat mehr Buchstaben, ""ist"" oder ""muss""? A:","['ist', 'muss']",muss, mussolches wor
"Von den Woertern ""iteration"" und ""oligarchie"", welches hat mehr Buchstaben? ","['iteration', 'oligarchie']",oligarchie, iteration?
"Von den Woertern ""idiotisch"" und ""bekannte"", welches hat mehr Buchstaben? ","['idiotisch', 'bekannte']",idiotisch, idiotischstab
"F: Welches Wort hat mehr Buchstaben, ""im"" oder ""weg""? A:","['im', 'weg']",weg," weg""? a:"
"F: Welches Wort hat mehr Buchstaben, ""rot"" oder ""dann""? A:","['rot', 'dann']",dann, rotundaete
"F: Welches Wort ist laenger, ""verloren"" oder ""beweise""? A:","['verloren', 'beweise']",verloren, verloren?
"Von den Woertern ""veranstalt"" und ""unablaessiggleichstand"", welches hat mehr Buchstaben? ","['veranstalt', 'unablaessiggleichstand']",unablaessiggleichstand, veranstalt
"F: Welches Wort hat mehr Buchstaben, ""sich"" oder ""daher""? A:","['sich', 'daher']",daher," sich""? a:"
"F: Welches Wort ist laenger, ""dabei"" oder ""graben""? A:","['dabei', 'graben']",graben, dabeiisi
"F: Welches Wort hat mehr Buchstaben, ""man"" oder ""bald""? A:","['man', 'bald']",bald, baldwin?
"Von den Woertern ""mitarbeiter"" und ""entwickeln"", welches hat mehr Buchstaben? ","['mitarbeiter', 'entwickeln']",mitarbeiter, entwickeln
"Von den Woertern ""veranstalt"" und ""verzichts"", welches hat mehr Buchstaben? ","['veranstalt', 'verzichts']",veranstalt, veranstalt
"F: Welches Wort hat mehr Buchstaben, ""im"" oder ""ein""? A:","['im', 'ein']",ein, ein?
"F: Welches Wort hat mehr Buchstaben, ""der"" oder ""sind""? A:","['der', 'sind']",sind," sindelaus""?"
"F: Welches Wort hat mehr Buchstaben, ""daher"" oder ""lang""? A:","['daher', 'lang']",daher, lang?
"Von den Woertern ""beispiel"" und ""machtwort"", welches hat mehr Buchstaben? ","['beispiel', 'machtwort']",machtwort, machtwort?
"F: Welches Wort ist laenger, ""wissen"" oder ""abholen""? A:","['wissen', 'abholen']",abholen, abholen?
"Von den Woertern ""mitarbeiter"" und ""hustenbonbon"", welches hat mehr Buchstaben? ","['mitarbeiter', 'hustenbonbon']",hustenbonbon, mitternbonbonbon
"Von den Woertern ""fachbuecher"" und ""offizielle"", welches hat mehr Buchstaben? ","['fachbuecher', 'offizielle']",fachbuecher, fachbuecher
"F: Welches Wort ist laenger, ""gedanke"" oder ""koennt""? A:","['gedanke', 'koennt']",gedanke, gedankelt
"F: Welches Wort hat mehr Buchstaben, ""der"" oder ""sehr""? A:","['der', 'sehr']",sehr, sehr buchst
"F: Welches Wort ist laenger, ""anteil"" oder ""beweise""? A:","['anteil', 'beweise']",beweise, anteilieilie
"F: Welches Wort ist laenger, ""laufen"" oder ""wurde""? A:","['laufen', 'wurde']",laufen," wurdeenlied""?"
"F: Welches Wort ist laenger, ""anderen"" oder ""zwischen""? A:","['anderen', 'zwischen']",zwischen," zwischen""? a"
"F: Welches Wort hat mehr Buchstaben, ""wenn"" oder ""dabei""? A:","['wenn', 'dabei']",dabei, dabei?
"Von den Woertern ""wunderkind"" und ""wachmaenner"", welches hat mehr Buchstaben? ","['wunderkind', 'wachmaenner']",wachmaenner, wachmaenner
"F: Welches Wort hat mehr Buchstaben, ""der"" oder ""zeit""? A:","['der', 'zeit']",zeit," zeit""? a:"
"F: Welches Wort hat mehr Buchstaben, ""muss"" oder ""unter""? A:","['muss', 'unter']",unter, mussolches wor
"Von den Woertern ""obduktion"" und ""bedrohen"", welches hat mehr Buchstaben? ","['obduktion', 'bedrohen']",obduktion," bedrohen""?"
"F: Welches Wort hat mehr Buchstaben, ""und"" oder ""nach""? A:","['und', 'nach']",nach," und ""nach""?"
"F: Welches Wort hat mehr Buchstaben, ""sich"" oder ""der""? A:","['sich', 'der']",sich," sich""? a:"
"F: Welches Wort ist laenger, ""beenden"" oder ""gebiss""? A:","['beenden', 'gebiss']",beenden," gebiss""? a"
"F: Welches Wort hat mehr Buchstaben, ""nun"" oder ""ab""? A:","['nun', 'ab']",nun, nunzaben
"F: Welches Wort hat mehr Buchstaben, ""es"" oder ""das""? A:","['es', 'das']",das," das wort """
"F: Welches Wort hat mehr Buchstaben, ""sie"" oder ""ganz""? A:","['sie', 'ganz']",ganz, ganzanz
"F: Welches Wort hat mehr Buchstaben, ""mehr"" oder ""reden""? A:","['mehr', 'reden']",reden, mehr buchst
"F: Welches Wort ist laenger, ""darueber"" oder ""beenden""? A:","['darueber', 'beenden']",darueber," darueber""? a"
"F: Welches Wort ist laenger, ""abholen"" oder ""beispiel""? A:","['abholen', 'beispiel']",beispiel, abholenenen
"Von den Woertern ""erfahrung"" und ""verbindung"", welches hat mehr Buchstaben? ","['erfahrung', 'verbindung']",verbindung, erfahrung
"F: Welches Wort hat mehr Buchstaben, ""am"" oder ""nun""? A:","['am', 'nun']",nun, nun?
"Von den Woertern ""entstehung"" und ""idiotisch"", welches hat mehr Buchstaben? ","['entstehung', 'idiotisch']",entstehung, idiotisch zu
"F: Welches Wort ist laenger, ""entsteht"" oder ""beenden""? A:","['entsteht', 'beenden']",entsteht," beendenlied""?"
"F: Welches Wort ist laenger, ""fragen"" oder ""nicht""? A:","['fragen', 'nicht']",fragen, fragen?
"Von den Woertern ""iteration"" und ""tadellos"", welches hat mehr Buchstaben? ","['iteration', 'tadellos']",iteration, tadellos?
"F: Welches Wort hat mehr Buchstaben, ""ob"" oder ""das""? A:","['ob', 'das']",das, obelisk?
"Von den Woertern ""robbenfell"" und ""erfahrung"", welches hat mehr Buchstaben? ","['robbenfell', 'erfahrung']",robbenfell, erfahrung
"F: Welches Wort hat mehr Buchstaben, ""weg"" oder ""du""? A:","['weg', 'du']",weg," weg""? a:"
"Von den Woertern ""kombination"" und ""bevoelkerung"", welches hat mehr Buchstaben? ","['kombination', 'bevoelkerung']",bevoelkerung, kombination?
"F: Welches Wort ist laenger, ""lebende"" oder ""weinen""? A:","['lebende', 'weinen']",lebende," lebende""?"
"F: Welches Wort hat mehr Buchstaben, ""allen"" oder ""will""? A:","['allen', 'will']",allen," allen""? a:"
"Von den Woertern ""verhaeltnis"" und ""robbenfell"", welches hat mehr Buchstaben? ","['verhaeltnis', 'robbenfell']",verhaeltnis, verhaeltnis
"F: Welches Wort ist laenger, ""wurde"" oder ""folgen""? A:","['wurde', 'folgen']",folgen, wurde?
"F: Welches Wort hat mehr Buchstaben, ""sowie"" oder ""mehr""? A:","['sowie', 'mehr']",sowie, mehr buchst
"F: Welches Wort hat mehr Buchstaben, ""nie"" oder ""bald""? A:","['nie', 'bald']",bald, baldwin?
"F: Welches Wort hat mehr Buchstaben, ""ganz"" oder ""dabei""? A:","['ganz', 'dabei']",dabei, ganzanz
"F: Welches Wort hat mehr Buchstaben, ""ist"" oder ""ja""? A:","['ist', 'ja']",ist, ist kleiner
"F: Welches Wort hat mehr Buchstaben, ""im"" oder ""all""? A:","['im', 'all']",all, all?
"F: Welches Wort ist laenger, ""mulmig"" oder ""gezeigt""? A:","['mulmig', 'gezeigt']",gezeigt," gezeigt""?"
"F: Welches Wort ist laenger, ""bagger"" oder ""wertlos""? A:","['bagger', 'wertlos']",wertlos, bagger wurtlos
"F: Welches Wort ist laenger, ""laufen"" oder ""solches""? A:","['laufen', 'solches']",solches, solches wort i
"F: Welches Wort ist laenger, ""beenden"" oder ""ehrenlos""? A:","['beenden', 'ehrenlos']",ehrenlos, beendenlos?
"F: Welches Wort hat mehr Buchstaben, ""weg"" oder ""noch""? A:","['weg', 'noch']",noch," weg""? a:"
"F: Welches Wort ist laenger, ""wertlos"" oder ""verloren""? A:","['wertlos', 'verloren']",verloren, wertlosblad
"Von den Woertern ""fachbegriff"" und ""plakatwand"", welches hat mehr Buchstaben? ","['fachbegriff', 'plakatwand']",fachbegriff, plakatwand
"Von den Woertern ""vorausblick"" und ""verteilung"", welches hat mehr Buchstaben? ","['vorausblick', 'verteilung']",vorausblick, verteilungbl
"F: Welches Wort ist laenger, ""jobcenter"" oder ""darueber""? A:","['jobcenter', 'darueber']",jobcenter," darueber""? a"
"F: Welches Wort hat mehr Buchstaben, ""und"" oder ""da""? A:","['und', 'da']",und, und und und und und
"F: Welches Wort hat mehr Buchstaben, ""wurde"" oder ""noch""? A:","['wurde', 'noch']",wurde," wurde""? a:"
"Von den Woertern ""offizielle"" und ""machtwort"", welches hat mehr Buchstaben? ","['offizielle', 'machtwort']",offizielle, offizielle?
"Von den Woertern ""erinnerung"" und ""unablaessiggleichstand"", welches hat mehr Buchstaben? ","['erinnerung', 'unablaessiggleichstand']",unablaessiggleichstand, erinnerungsbe
"Von den Woertern ""obduktion"" und ""offizielle"", welches hat mehr Buchstaben? ","['obduktion', 'offizielle']",offizielle, offizielle?
"Von den Woertern ""erinnerung"" und ""kreativen"", welches hat mehr Buchstaben? ","['erinnerung', 'kreativen']",erinnerung, erinnerungen?
"F: Welches Wort ist laenger, ""variabel"" oder ""mehrere""? A:","['variabel', 'mehrere']",variabel, variabel?
"F: Welches Wort ist laenger, ""entsteht"" oder ""voellig""? A:","['entsteht', 'voellig']",entsteht," entsteht""? a"
"F: Welches Wort hat mehr Buchstaben, ""sind"" oder ""dabei""? A:","['sind', 'dabei']",dabei, dabei?
"F: Welches Wort ist laenger, ""voellig"" oder ""blamabel""? A:","['voellig', 'blamabel']",blamabel, voellig?
"Von den Woertern ""bedeutet"" und ""jobcenter"", welches hat mehr Buchstaben? ","['bedeutet', 'jobcenter']",jobcenter," jobcenter""?"
"F: Welches Wort hat mehr Buchstaben, ""ein"" oder ""du""? A:","['ein', 'du']",ein, ein?
"Von den Woertern ""beweglich"" und ""verbindung"", welches hat mehr Buchstaben? ","['beweglich', 'verbindung']",verbindung, beweglichung
"F: Welches Wort ist laenger, ""sollen"" oder ""beenden""? A:","['sollen', 'beenden']",beenden," beendenlied""?"
"Von den Woertern ""plakatwand"" und ""kreativen"", welches hat mehr Buchstaben? ","['plakatwand', 'kreativen']",plakatwand, plakatwand
"Von den Woertern ""abweichungen"" und ""unablaessiggleichstand"", welches hat mehr Buchstaben? ","['abweichungen', 'unablaessiggleichstand']",unablaessiggleichstand, abweichungen
"F: Welches Wort hat mehr Buchstaben, ""und"" oder ""noch""? A:","['und', 'noch']",noch," und ""noch""?"
"F: Welches Wort ist laenger, ""mehrere"" oder ""wuerde""? A:","['mehrere', 'wuerde']",mehrere, wuerde?
"Von den Woertern ""gasfoermig"" und ""erfahrung"", welches hat mehr Buchstaben? ","['gasfoermig', 'erfahrung']",gasfoermig, gasfoermig
"F: Welches Wort ist laenger, ""bagger"" oder ""anderen""? A:","['bagger', 'anderen']",anderen, bagger anderen
"F: Welches Wort ist laenger, ""versucht"" oder ""beweise""? A:","['versucht', 'beweise']",versucht," versucht""? a"
"F: Welches Wort hat mehr Buchstaben, ""sehr"" oder ""ist""? A:","['sehr', 'ist']",sehr, sehr buchst
"Von den Woertern ""polaritaet"" und ""vorausblick"", welches hat mehr Buchstaben? ","['polaritaet', 'vorausblick']",vorausblick, polaritaetterbl
"Von den Woertern ""obduktion"" und ""wunderkind"", welches hat mehr Buchstaben? ","['obduktion', 'wunderkind']",wunderkind, obduktion
"F: Welches Wort hat mehr Buchstaben, ""so"" oder ""nun""? A:","['so', 'nun']",nun, nun?
"F: Welches Wort ist laenger, ""bestens"" oder ""gespuert""? A:","['bestens', 'gespuert']",gespuert, gespuert
"Von den Woertern ""iteration"" und ""offensiv"", welches hat mehr Buchstaben? ","['iteration', 'offensiv']",iteration," offensiv ""iter"
"F: Welches Wort hat mehr Buchstaben, ""im"" oder ""sie""? A:","['im', 'sie']",sie, sie auf das
"F: Welches Wort hat mehr Buchstaben, ""unter"" oder ""auch""? A:","['unter', 'auch']",unter, auchstaben
"F: Welches Wort ist laenger, ""bruellen"" oder ""solches""? A:","['bruellen', 'solches']",bruellen, bruellen?
"F: Welches Wort ist laenger, ""koennt"" oder ""lebende""? A:","['koennt', 'lebende']",lebende," lebende""?"
"F: Welches Wort hat mehr Buchstaben, ""heut"" oder ""sowie""? A:","['heut', 'sowie']",sowie," sowie""? a"
"F: Welches Wort ist laenger, ""verzichts"" oder ""tuefteln""? A:","['verzichts', 'tuefteln']",verzichts, verzichts?
"F: Welches Wort hat mehr Buchstaben, ""zeit"" oder ""und""? A:","['zeit', 'und']",zeit, undershach?
"F: Welches Wort hat mehr Buchstaben, ""war"" oder ""zu""? A:","['war', 'zu']",war, war?
"F: Welches Wort ist laenger, ""ungerne"" oder ""wirklich""? A:","['ungerne', 'wirklich']",wirklich," wirklich""?"
"Von den Woertern ""fachbuecher"" und ""gleichheiten"", welches hat mehr Buchstaben? ","['fachbuecher', 'gleichheiten']",gleichheiten, gleichheiten
"F: Welches Wort hat mehr Buchstaben, ""all"" oder ""kann""? A:","['all', 'kann']",kann, all?
"Von den Woertern ""taeterprofil"" und ""kombination"", welches hat mehr Buchstaben? ","['taeterprofil', 'kombination']",taeterprofil, kombination?
"Von den Woertern ""verzichts"" und ""blamabel"", welches hat mehr Buchstaben? ","['verzichts', 'blamabel']",verzichts, blamabel?
"F: Welches Wort hat mehr Buchstaben, ""heut"" oder ""aus""? A:","['heut', 'aus']",heut, heut?
"Von den Woertern ""zwischen"" und ""verstehen"", welches hat mehr Buchstaben? ","['zwischen', 'verstehen']",verstehen, verstehen?
"F: Welches Wort hat mehr Buchstaben, ""der"" oder ""am""? A:","['der', 'am']",der, derbisse?
"F: Welches Wort hat mehr Buchstaben, ""erst"" oder ""die""? A:","['erst', 'die']",erst, erststaben
"F: Welches Wort ist laenger, ""bagger"" oder ""bestens""? A:","['bagger', 'bestens']",bestens, bagger?
"F: Welches Wort ist laenger, ""bedeutung"" oder ""bruellen""? A:","['bedeutung', 'bruellen']",bedeutung, bedeutungung
"Von den Woertern ""tafelwasser"" und ""hustenbonbon"", welches hat mehr Buchstaben? ","['tafelwasser', 'hustenbonbon']",hustenbonbon, hustenbonbonbon
"F: Welches Wort ist laenger, ""ungerne"" oder ""nichts""? A:","['ungerne', 'nichts']",ungerne," ungerne""? a"
"F: Welches Wort hat mehr Buchstaben, ""kann"" oder ""wurde""? A:","['kann', 'wurde']",wurde," wurde""? a:"
"F: Welches Wort ist laenger, ""namenlos"" oder ""gedanke""? A:","['namenlos', 'gedanke']",namenlos, gedankelos
"F: Welches Wort ist laenger, ""abholen"" oder ""analog""? A:","['abholen', 'analog']",abholen, analogradoff?
"Von den Woertern ""idiotisch"" und ""offensiv"", welches hat mehr Buchstaben? ","['idiotisch', 'offensiv']",idiotisch, offensiv mehr
"F: Welches Wort ist laenger, ""gespuert"" oder ""erfahrung""? A:","['gespuert', 'erfahrung']",erfahrung, gespuert
"F: Welches Wort hat mehr Buchstaben, ""sehr"" oder ""nicht""? A:","['sehr', 'nicht']",nicht, sehr buchst
"F: Welches Wort hat mehr Buchstaben, ""haben"" oder ""will""? A:","['haben', 'will']",haben, will?
"F: Welches Wort hat mehr Buchstaben, ""diese"" oder ""gebiss""? A:","['diese', 'gebiss']",gebiss," gebiss""? a"
"Von den Woertern ""bedeutung"" und ""plakatwand"", welches hat mehr Buchstaben? ","['bedeutung', 'plakatwand']",plakatwand, plakatwand
"F: Welches Wort ist laenger, ""pulvrig"" oder ""wissen""? A:","['pulvrig', 'wissen']",pulvrig, pulvrigrigrig
"F: Welches Wort ist laenger, ""voellig"" oder ""bruellen""? A:","['voellig', 'bruellen']",bruellen, bruellen?
"F: Welches Wort ist laenger, ""gezeigt"" oder ""irgendwo""? A:","['gezeigt', 'irgendwo']",irgendwo," gezeigt""?"
"F: Welches Wort hat mehr Buchstaben, ""sollen"" oder ""diese""? A:","['sollen', 'diese']",sollen," sollen""? a:"
"F: Welches Wort hat mehr Buchstaben, ""sehr"" oder ""ich""? A:","['sehr', 'ich']",sehr, sehr buchst
"F: Welches Wort hat mehr Buchstaben, ""ab"" oder ""nie""? A:","['ab', 'nie']",nie, niehstab
"F: Welches Wort ist laenger, ""geborene"" oder ""beweise""? A:","['geborene', 'beweise']",geborene, geboreneisse
"F: Welches Wort ist laenger, ""jemand"" oder ""dabei""? A:","['jemand', 'dabei']",jemand, dabei?
"Von den Woertern ""machtwort"" und ""erinnerung"", welches hat mehr Buchstaben? ","['machtwort', 'erinnerung']",erinnerung, erinnerungsbe
"Von den Woertern ""abweichung"" und ""beweglich"", welches hat mehr Buchstaben? ","['abweichung', 'beweglich']",abweichung, abweichungung
"F: Welches Wort ist laenger, ""ungerne"" oder ""bagger""? A:","['ungerne', 'bagger']",ungerne, baggernecken?
"Von den Woertern ""entwickeln"" und ""effizient"", welches hat mehr Buchstaben? ","['entwickeln', 'effizient']",entwickeln, effizient?
"Von den Woertern ""veranstalt"" und ""verabredung"", welches hat mehr Buchstaben? ","['veranstalt', 'verabredung']",verabredung, verabredung?
"Von den Woertern ""jobcenter"" und ""verloren"", welches hat mehr Buchstaben? ","['jobcenter', 'verloren']",jobcenter," jobcenter""?"
"F: Welches Wort hat mehr Buchstaben, ""hier"" oder ""mit""? A:","['hier', 'mit']",hier, hier?
"Von den Woertern ""offensiv"" und ""verstehen"", welches hat mehr Buchstaben? ","['offensiv', 'verstehen']",verstehen, verstehen?
"Von den Woertern ""offizielle"" und ""bedeutung"", welches hat mehr Buchstaben? ","['offizielle', 'bedeutung']",offizielle, offizielle?
"Von den Woertern ""beweglich"" und ""bedeutet"", welches hat mehr Buchstaben? ","['beweglich', 'bedeutet']",beweglich," beweglich""?"
"F: Welches Wort hat mehr Buchstaben, ""aus"" oder ""ja""? A:","['aus', 'ja']",aus, ja?
"F: Welches Wort ist laenger, ""mehrere"" oder ""gespuert""? A:","['mehrere', 'gespuert']",gespuert, gespuert
"Von den Woertern ""fachbegriff"" und ""haarstraehne"", welches hat mehr Buchstaben? ","['fachbegriff', 'haarstraehne']",haarstraehne, fachbegriff
"F: Welches Wort hat mehr Buchstaben, ""sowie"" oder ""denken""? A:","['sowie', 'denken']",denken, denkenenkenen
"Von den Woertern ""gemeinsam"" und ""offensiv"", welches hat mehr Buchstaben? ","['gemeinsam', 'offensiv']",gemeinsam," offensiv ""geme"
"F: Welches Wort hat mehr Buchstaben, ""erst"" oder ""das""? A:","['erst', 'das']",erst, das erstab
"F: Welches Wort ist laenger, ""pulvrig"" oder ""entsteht""? A:","['pulvrig', 'entsteht']",entsteht," pulvrig""? a"
"F: Welches Wort hat mehr Buchstaben, ""ein"" oder ""ab""? A:","['ein', 'ab']",ein, ein?
"Von den Woertern ""entwickeln"" und ""tafelwasser"", welches hat mehr Buchstaben? ","['entwickeln', 'tafelwasser']",tafelwasser, tafelwass
"F: Welches Wort ist laenger, ""solches"" oder ""irgendwo""? A:","['solches', 'irgendwo']",irgendwo, solches wort i
"Von den Woertern ""fachbuecher"" und ""verteilung"", welches hat mehr Buchstaben? ","['fachbuecher', 'verteilung']",fachbuecher, verteilung?
"F: Welches Wort ist laenger, ""gewinnt"" oder ""irgendwo""? A:","['gewinnt', 'irgendwo']",irgendwo," gewinnt""? a"
"F: Welches Wort ist laenger, ""pulvrig"" oder ""tuefteln""? A:","['pulvrig', 'tuefteln']",tuefteln," pulvrig""? a"
"F: Welches Wort hat mehr Buchstaben, ""ist"" oder ""um""? A:","['ist', 'um']",ist, ist der letz
"F: Welches Wort hat mehr Buchstaben, ""war"" oder ""heut""? A:","['war', 'heut']",heut, war?
"F: Welches Wort ist laenger, ""irgendwo"" oder ""beweise""? A:","['irgendwo', 'beweise']",irgendwo," beweise""? a"
"F: Welches Wort ist laenger, ""wissen"" oder ""ungerne""? A:","['wissen', 'ungerne']",ungerne, ungerne?
"F: Welches Wort hat mehr Buchstaben, ""es"" oder ""ich""? A:","['es', 'ich']",ich," esch ""es""?"
"Von den Woertern ""gasfoermig"" und ""vorausblick"", welches hat mehr Buchstaben? ","['gasfoermig', 'vorausblick']",vorausblick, gasfoermig
"Von den Woertern ""obduktion"" und ""verteilung"", welches hat mehr Buchstaben? ","['obduktion', 'verteilung']",verteilung, verteilung?
"F: Welches Wort hat mehr Buchstaben, ""weg"" oder ""bald""? A:","['weg', 'bald']",bald," weg""? a:"
"Von den Woertern ""erforschung"" und ""taeterprofil"", welches hat mehr Buchstaben? ","['erforschung', 'taeterprofil']",taeterprofil, erforschung
"Von den Woertern ""tafelwasser"" und ""allerdings"", welches hat mehr Buchstaben? ","['tafelwasser', 'allerdings']",tafelwasser, tafelwass
"F: Welches Wort ist laenger, ""pulvrig"" oder ""laufen""? A:","['pulvrig', 'laufen']",pulvrig," pulvrig""? a"
"F: Welches Wort hat mehr Buchstaben, ""kann"" oder ""waren""? A:","['kann', 'waren']",waren, kannen?
"Von den Woertern ""verteilung"" und ""kombination"", welches hat mehr Buchstaben? ","['verteilung', 'kombination']",kombination, verteilung?
"F: Welches Wort ist laenger, ""gezeigt"" oder ""analog""? A:","['gezeigt', 'analog']",gezeigt," gezeigt""?"
"Von den Woertern ""machtwort"" und ""bekannte"", welches hat mehr Buchstaben? ","['machtwort', 'bekannte']",machtwort, machtwort?
"F: Welches Wort ist laenger, ""gezeigt"" oder ""namenlos""? A:","['gezeigt', 'namenlos']",namenlos," gezeigt""?"
"F: Welches Wort hat mehr Buchstaben, ""weg"" oder ""heut""? A:","['weg', 'heut']",heut," weg""? a:"
"F: Welches Wort ist laenger, ""tuefteln"" oder ""beweise""? A:","['tuefteln', 'beweise']",tuefteln," beweise""? a"
"F: Welches Wort hat mehr Buchstaben, ""man"" oder ""mehr""? A:","['man', 'mehr']",mehr, mehr buchst
"Von den Woertern ""robbenfell"" und ""tabuisieren"", welches hat mehr Buchstaben? ","['robbenfell', 'tabuisieren']",tabuisieren, tabuisieren
"F: Welches Wort ist laenger, ""namenlos"" oder ""mehrere""? A:","['namenlos', 'mehrere']",namenlos, namenlosloslos
"Von den Woertern ""haarstraehne"" und ""vorausblick"", welches hat mehr Buchstaben? ","['haarstraehne', 'vorausblick']",haarstraehne, haarstraehne
"F: Welches Wort hat mehr Buchstaben, ""ein"" oder ""er""? A:","['ein', 'er']",ein," einen""? a"
"F: Welches Wort hat mehr Buchstaben, ""rot"" oder ""so""? A:","['rot', 'so']",rot," rotund""? a:"
"F: Welches Wort hat mehr Buchstaben, ""weg"" oder ""ab""? A:","['weg', 'ab']",weg," weg""? a:"
"Von den Woertern ""jobcenter"" und ""entstehung"", welches hat mehr Buchstaben? ","['jobcenter', 'entstehung']",entstehung," entstehung """
"F: Welches Wort ist laenger, ""anderen"" oder ""folgen""? A:","['anderen', 'folgen']",anderen, anderen?
"F: Welches Wort ist laenger, ""wertlos"" oder ""versucht""? A:","['wertlos', 'versucht']",versucht," versucht""? a"
"F: Welches Wort hat mehr Buchstaben, ""haben"" oder ""wenn""? A:","['haben', 'wenn']",haben," wenner""? a"
"F: Welches Wort ist laenger, ""unter"" oder ""wuerde""? A:","['unter', 'wuerde']",wuerde, wuerde?
"F: Welches Wort ist laenger, ""tuefteln"" oder ""idiotisch""? A:","['tuefteln', 'idiotisch']",idiotisch," idiotisch""? a"
"F: Welches Wort hat mehr Buchstaben, ""sich"" oder ""man""? A:","['sich', 'man']",sich," sich""? a:"
"F: Welches Wort ist laenger, ""laufen"" oder ""daher""? A:","['laufen', 'daher']",laufen, daher?
"Von den Woertern ""offizielle"" und ""tafelwasser"", welches hat mehr Buchstaben? ","['offizielle', 'tafelwasser']",tafelwasser, offizielle?
"F: Welches Wort hat mehr Buchstaben, ""muss"" oder ""ein""? A:","['muss', 'ein']",muss, mussolches wor
"Von den Woertern ""entwickeln"" und ""beweglich"", welches hat mehr Buchstaben? ","['entwickeln', 'beweglich']",entwickeln, entwickeln
"F: Welches Wort hat mehr Buchstaben, ""ganz"" oder ""waren""? A:","['ganz', 'waren']",waren, ganzuns wor
"F: Welches Wort hat mehr Buchstaben, ""nie"" oder ""um""? A:","['nie', 'um']",nie, niehstab
"F: Welches Wort ist laenger, ""koennt"" oder ""wertlos""? A:","['koennt', 'wertlos']",wertlos, koenntlos?
