Input,Options,Expected,Output (raw),Predicted
"Q: Which word is shorter, ""bring"" or ""chemistry""? A:","['bring', 'chemistry']",bring,"UTT_BOUNDARY q: which word is shorter, ""bring"" or ""chemistry""? a:UTT_BOUNDARY bring the things in the", bring the things in the
"Q: Which word is shorter, ""something"" or ""we""? A:","['something', 'we']",we,"UTT_BOUNDARY q: which word is shorter, ""something"" or ""we""? a:UTT_BOUNDARY we could go to the", we could go to the
"Q: Which word is shorter, ""no"" or ""worse""? A:","['no', 'worse']",no,"UTT_BOUNDARY q: which word is shorter, ""no"" or ""worse""? a:UTT_BOUNDARY no problem"", ""des"," no problem"", ""des"
"Q: Which word has fewer letters, ""fun"" or ""almost""? A:","['fun', 'almost']",fun,"UTT_BOUNDARY q: which word has fewer letters, ""fun"" or ""almost""? a:UTT_BOUNDARY fun? a:UTT_BOUNDARY", fun? a:
"Q: Of the words ""stop"" and ""anymore"" which one has fewer letters? A:","['stop', 'anymore']",stop,"UTT_BOUNDARY q: of the words ""stop"" and ""anymore"" which one has fewer letters? a:UTT_BOUNDARY stop by the end of", stop by the end of
"Q: Which word is shorter, ""birthday"" or ""sort""? A:","['birthday', 'sort']",sort,"UTT_BOUNDARY q: which word is shorter, ""birthday"" or ""sort""? a:UTT_BOUNDARY sort of thing? a", sort of thing? a
"Q: Which word is shorter, ""might"" or ""oh""? A:","['might', 'oh']",oh,"UTT_BOUNDARY q: which word is shorter, ""might"" or ""oh""? a:UTT_BOUNDARY oh, oh oh oh"," oh, oh oh oh"
"Q: Of the words ""bright"" and ""mix"" which one has fewer letters? A:","['bright', 'mix']",mix,"UTT_BOUNDARY q: of the words ""bright"" and ""mix"" which one has fewer letters? a:UTT_BOUNDARY mix with bright blueberry", mix with bright blueberry
"Q: Which word has fewer letters, ""should"" or ""policeman""? A:","['should', 'policeman']",should,"UTT_BOUNDARY q: which word has fewer letters, ""should"" or ""policeman""? a:UTT_BOUNDARY should be able to do", should be able to do
"Q: Of the words ""fit"" and ""closed"" which one has fewer letters? A:","['fit', 'closed']",fit,"UTT_BOUNDARY q: of the words ""fit"" and ""closed"" which one has fewer letters? a:UTT_BOUNDARY fitter than on the", fitter than on the
"Q: Of the words ""nurse"" and ""chemistry"" which one has fewer letters? A:","['nurse', 'chemistry']",nurse,"UTT_BOUNDARY q: of the words ""nurse"" and ""chemistry"" which one has fewer letters? a:UTT_BOUNDARY nurseing than any of", nurseing than any of
"Q: Which word has fewer letters, ""walking"" or ""guy""? A:","['walking', 'guy']",guy,"UTT_BOUNDARY q: which word has fewer letters, ""walking"" or ""guy""? a:UTT_BOUNDARY guy leave""? a:"," guy leave""? a:"
"Q: Which word has fewer letters, ""diary"" or ""birthday""? A:","['diary', 'birthday']",diary,"UTT_BOUNDARY q: which word has fewer letters, ""diary"" or ""birthday""? a:UTT_BOUNDARY diary""? a:UTT_BOUNDARY"," diary""? a:"
"Q: Which word is shorter, ""dangerous"" or ""hungry""? A:","['dangerous', 'hungry']",hungry,"UTT_BOUNDARY q: which word is shorter, ""dangerous"" or ""hungry""? a:UTT_BOUNDARY hungry""? a:UTT_BOUNDARY"," hungry""? a:"
"Q: Of the words ""my"" and ""dream"" which one has fewer letters? A:","['my', 'dream']",my,"UTT_BOUNDARY q: of the words ""my"" and ""dream"" which one has fewer letters? a:UTT_BOUNDARY my heart and body"""," my heart and body"""
"Q: Which word has fewer letters, ""do"" or ""whole""? A:","['do', 'whole']",do,"UTT_BOUNDARY q: which word has fewer letters, ""do"" or ""whole""? a:UTT_BOUNDARY do you want to go", do you want to go
"Q: Which word is shorter, ""bright"" or ""boyfriend""? A:","['bright', 'boyfriend']",bright,"UTT_BOUNDARY q: which word is shorter, ""bright"" or ""boyfriend""? a:UTT_BOUNDARY bright smile"", which word"," bright smile"", which word"
"Q: Which word has fewer letters, ""carpet"" or ""an""? A:","['carpet', 'an']",an,"UTT_BOUNDARY q: which word has fewer letters, ""carpet"" or ""an""? a:UTT_BOUNDARY an alphabetical order""?"," an alphabetical order""?"
"Q: Of the words ""up"" and ""point"" which one has fewer letters? A:","['up', 'point']",up,"UTT_BOUNDARY q: of the words ""up"" and ""point"" which one has fewer letters? a:UTT_BOUNDARY upliftment"" or"," upliftment"" or"
"Q: Of the words ""way"" and ""itself"" which one has fewer letters? A:","['way', 'itself']",way,"UTT_BOUNDARY q: of the words ""way"" and ""itself"" which one has fewer letters? a:UTT_BOUNDARY way of life itself?", way of life itself?
"Q: Which word has fewer letters, ""up"" or ""smoke""? A:","['up', 'smoke']",up,"UTT_BOUNDARY q: which word has fewer letters, ""up"" or ""smoke""? a:UTT_BOUNDARY upgrade""? a:"," upgrade""? a:"
"Q: Which word has fewer letters, ""mug"" or ""friendly""? A:","['mug', 'friendly']",mug,"UTT_BOUNDARY q: which word has fewer letters, ""mug"" or ""friendly""? a:UTT_BOUNDARY mug"" which one"," mug"" which one"
"Q: Which word has fewer letters, ""camp"" or ""outside""? A:","['camp', 'outside']",camp,"UTT_BOUNDARY q: which word has fewer letters, ""camp"" or ""outside""? a:UTT_BOUNDARY campfire""? a:"," campfire""? a:"
"Q: Of the words ""jam"" and ""neighbor"" which one has fewer letters? A:","['jam', 'neighbor']",jam,"UTT_BOUNDARY q: of the words ""jam"" and ""neighbor"" which one has fewer letters? a:UTT_BOUNDARY jamalies are more", jamalies are more
"Q: Which word is shorter, ""neighbor"" or ""along""? A:","['neighbor', 'along']",along,"UTT_BOUNDARY q: which word is shorter, ""neighbor"" or ""along""? a:UTT_BOUNDARY along with the word """," along with the word """
"Q: Of the words ""finger"" and ""new"" which one has fewer letters? A:","['finger', 'new']",new,"UTT_BOUNDARY q: of the words ""finger"" and ""new"" which one has fewer letters? a:UTT_BOUNDARY new york""? a"," new york""? a"
"Q: Of the words ""daughter"" and ""fast"" which one has fewer letters? A:","['daughter', 'fast']",fast,"UTT_BOUNDARY q: of the words ""daughter"" and ""fast"" which one has fewer letters? a:UTT_BOUNDARY fast or fast""? a"," fast or fast""? a"
"Q: Which word is shorter, ""boat"" or ""project""? A:","['boat', 'project']",boat,"UTT_BOUNDARY q: which word is shorter, ""boat"" or ""project""? a:UTT_BOUNDARY boat""? a:UTT_BOUNDARY"," boat""? a:"
"Q: Which word has fewer letters, ""policeman"" or ""police""? A:","['policeman', 'police']",police,"UTT_BOUNDARY q: which word has fewer letters, ""policeman"" or ""police""? a:UTT_BOUNDARY police station""? a:"," police station""? a:"
"Q: Which word is shorter, ""guitar"" or ""my""? A:","['guitar', 'my']",my,"UTT_BOUNDARY q: which word is shorter, ""guitar"" or ""my""? a:UTT_BOUNDARY my brother likes collecting jazz", my brother likes collecting jazz
"Q: Which word is shorter, ""this"" or ""walking""? A:","['this', 'walking']",this,"UTT_BOUNDARY q: which word is shorter, ""this"" or ""walking""? a:UTT_BOUNDARY this way? a:", this way? a:
"Q: Which word is shorter, ""drawing"" or ""date""? A:","['drawing', 'date']",date,"UTT_BOUNDARY q: which word is shorter, ""drawing"" or ""date""? a:UTT_BOUNDARY date""? a:UTT_BOUNDARY"," date""? a:"
"Q: Which word has fewer letters, ""company"" or ""ham""? A:","['company', 'ham']",ham,"UTT_BOUNDARY q: which word has fewer letters, ""company"" or ""ham""? a:UTT_BOUNDARY hamster""? a:"," hamster""? a:"
"Q: Of the words ""adult"" and ""something"" which one has fewer letters? A:","['adult', 'something']",adult,"UTT_BOUNDARY q: of the words ""adult"" and ""something"" which one has fewer letters? a:UTT_BOUNDARY adult swimsuit""?"," adult swimsuit""?"
"Q: Which word has fewer letters, ""share"" or ""to""? A:","['share', 'to']",to,"UTT_BOUNDARY q: which word has fewer letters, ""share"" or ""to""? a:UTT_BOUNDARY to behold""? a"," to behold""? a"
"Q: Which word has fewer letters, ""blanket"" or ""hear""? A:","['blanket', 'hear']",hear,"UTT_BOUNDARY q: which word has fewer letters, ""blanket"" or ""hear""? a:UTT_BOUNDARY hear him shout""? a"," hear him shout""? a"
"Q: Of the words ""young"" and ""oh"" which one has fewer letters? A:","['young', 'oh']",oh,"UTT_BOUNDARY q: of the words ""young"" and ""oh"" which one has fewer letters? a:UTT_BOUNDARY oh, oh oh oh"," oh, oh oh oh"
"Q: Which word has fewer letters, ""up"" or ""simple""? A:","['up', 'simple']",up,"UTT_BOUNDARY q: which word has fewer letters, ""up"" or ""simple""? a:UTT_BOUNDARY upgrade date""? a"," upgrade date""? a"
"Q: Which word has fewer letters, ""platform"" or ""store""? A:","['platform', 'store']",store,"UTT_BOUNDARY q: which word has fewer letters, ""platform"" or ""store""? a:UTT_BOUNDARY store and postcard band", store and postcard band
"Q: Which word is shorter, ""platform"" or ""store""? A:","['platform', 'store']",store,"UTT_BOUNDARY q: which word is shorter, ""platform"" or ""store""? a:UTT_BOUNDARY store and postcard""?"," store and postcard""?"
"Q: Which word has fewer letters, ""mix"" or ""listen""? A:","['mix', 'listen']",mix,"UTT_BOUNDARY q: which word has fewer letters, ""mix"" or ""listen""? a:UTT_BOUNDARY mix with words ""shirt"," mix with words ""shirt"
"Q: Which word has fewer letters, ""worst"" or ""we""? A:","['worst', 'we']",we,"UTT_BOUNDARY q: which word has fewer letters, ""worst"" or ""we""? a:UTT_BOUNDARY we will have a lot", we will have a lot
"Q: Which word has fewer letters, ""something"" or ""guide""? A:","['something', 'guide']",guide,"UTT_BOUNDARY q: which word has fewer letters, ""something"" or ""guide""? a:UTT_BOUNDARY guidebook""? a:"," guidebook""? a:"
"Q: Which word has fewer letters, ""skating"" or ""join""? A:","['skating', 'join']",join,"UTT_BOUNDARY q: which word has fewer letters, ""skating"" or ""join""? a:UTT_BOUNDARY join the team with a", join the team with a
"Q: Which word is shorter, ""dangerous"" or ""in""? A:","['dangerous', 'in']",in,"UTT_BOUNDARY q: which word is shorter, ""dangerous"" or ""in""? a:UTT_BOUNDARY indoor""? a:"," indoor""? a:"
"Q: Which word is shorter, ""insect"" or ""lunchtime""? A:","['insect', 'lunchtime']",insect,"UTT_BOUNDARY q: which word is shorter, ""insect"" or ""lunchtime""? a:UTT_BOUNDARY insect and insect", insect and insect
"Q: Of the words ""camping"" and ""tire"" which one has fewer letters? A:","['camping', 'tire']",tire,"UTT_BOUNDARY q: of the words ""camping"" and ""tire"" which one has fewer letters? a:UTT_BOUNDARY tire"" or ""d"," tire"" or ""d"
"Q: Which word has fewer letters, ""dangerous"" or ""bother""? A:","['dangerous', 'bother']",bother,"UTT_BOUNDARY q: which word has fewer letters, ""dangerous"" or ""bother""? a:UTT_BOUNDARY bother with the word """," bother with the word """
"Q: Of the words ""noise"" and ""my"" which one has fewer letters? A:","['noise', 'my']",my,"UTT_BOUNDARY q: of the words ""noise"" and ""my"" which one has fewer letters? a:UTT_BOUNDARY my friends"" or """," my friends"" or """
"Q: Which word is shorter, ""holiday"" or ""up""? A:","['holiday', 'up']",up,"UTT_BOUNDARY q: which word is shorter, ""holiday"" or ""up""? a:UTT_BOUNDARY upgrade""? a:"," upgrade""? a:"
"Q: Which word is shorter, ""thanks"" or ""boyfriend""? A:","['thanks', 'boyfriend']",thanks,"UTT_BOUNDARY q: which word is shorter, ""thanks"" or ""boyfriend""? a:UTT_BOUNDARY thanks to the word """," thanks to the word """
"Q: Of the words ""silver"" and ""boyfriend"" which one has fewer letters? A:","['silver', 'boyfriend']",silver,"UTT_BOUNDARY q: of the words ""silver"" and ""boyfriend"" which one has fewer letters? a:UTT_BOUNDARY silver man? a:", silver man? a:
"Q: Which word has fewer letters, ""policeman"" or ""finger""? A:","['policeman', 'finger']",finger,"UTT_BOUNDARY q: which word has fewer letters, ""policeman"" or ""finger""? a:UTT_BOUNDARY fingernail""? a"," fingernail""? a"
"Q: Of the words ""special"" and ""view"" which one has fewer letters? A:","['special', 'view']",view,"UTT_BOUNDARY q: of the words ""special"" and ""view"" which one has fewer letters? a:UTT_BOUNDARY viewing of the problem", viewing of the problem
"Q: Which word has fewer letters, ""up"" or ""yourself""? A:","['up', 'yourself']",up,"UTT_BOUNDARY q: which word has fewer letters, ""up"" or ""yourself""? a:UTT_BOUNDARY upgrade""? a:"," upgrade""? a:"
"Q: Of the words ""discount"" and ""after"" which one has fewer letters? A:","['discount', 'after']",after,"UTT_BOUNDARY q: of the words ""discount"" and ""after"" which one has fewer letters? a:UTT_BOUNDARY after the word ""cl"," after the word ""cl"
"Q: Which word is shorter, ""movie"" or ""customer""? A:","['movie', 'customer']",movie,"UTT_BOUNDARY q: which word is shorter, ""movie"" or ""customer""? a:UTT_BOUNDARY movie actor and movie actor", movie actor and movie actor
"Q: Which word has fewer letters, ""bed"" or ""advice""? A:","['bed', 'advice']",bed,"UTT_BOUNDARY q: which word has fewer letters, ""bed"" or ""advice""? a:UTT_BOUNDARY bedside table""? a"," bedside table""? a"
"Q: Of the words ""birthday"" and ""brain"" which one has fewer letters? A:","['birthday', 'brain']",brain,"UTT_BOUNDARY q: of the words ""birthday"" and ""brain"" which one has fewer letters? a:UTT_BOUNDARY brainball than any word", brainball than any word
"Q: Which word is shorter, ""white"" or ""customer""? A:","['white', 'customer']",white,"UTT_BOUNDARY q: which word is shorter, ""white"" or ""customer""? a:UTT_BOUNDARY white rabbit""? a:"," white rabbit""? a:"
"Q: Which word has fewer letters, ""danger"" or ""wonderful""? A:","['danger', 'wonderful']",danger,"UTT_BOUNDARY q: which word has fewer letters, ""danger"" or ""wonderful""? a:UTT_BOUNDARY danger"" which one has"," danger"" which one has"
"Q: Which word has fewer letters, ""something"" or ""hungry""? A:","['something', 'hungry']",hungry,"UTT_BOUNDARY q: which word has fewer letters, ""something"" or ""hungry""? a:UTT_BOUNDARY hungry""? a:UTT_BOUNDARY"," hungry""? a:"
"Q: Which word has fewer letters, ""black"" or ""my""? A:","['black', 'my']",my,"UTT_BOUNDARY q: which word has fewer letters, ""black"" or ""my""? a:UTT_BOUNDARY my blackboarding?", my blackboarding?
