Input,Options,Expected,Output (raw),Predicted
"Q: In the sentence ""I broke those twigs and branches apart"", which word immediately succeeds the word ""and""? A:","['I', 'broke', 'those', 'twigs', 'and', 'branches', 'apart']",branches,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" i W b r o k e W t h o s e W t w i g s W a n d W b r a n c h e s W a p a r t "" , W w h i c h W w o r d W i m m e d i a t e l y W s u c c e e d s W t h e W w o r d W "" a n d "" ? W a : UTT_BOUNDARY p a c k a g e s "" ? W a : UTT_BOUNDARY","packages""? a:"
"Q: In the sentence ""I might eat deep fried muffins"", which word immediately succeeds the word ""deep""? A:","['I', 'might', 'eat', 'deep', 'fried', 'muffins']",fried,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" i W m i g h t W e a t W d e e p W f r i e d W m u f f i n s "" , W w h i c h W w o r d W i m m e d i a t e l y W s u c c e e d s W t h e W w o r d W "" d e e p "" ? W a : UTT_BOUNDARY d e e p e n s e s "" ? W a : UTT_BOUNDARY","deepenses""? a:"
"Q: In the sentence ""Jason was killed"", which word immediately succeeds the word ""was""? A:","['Jason', 'was', 'killed']",killed,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" j a s o n W w a s W k i l l e d "" , W w h i c h W w o r d W i m m e d i a t e l y W s u c c e e d s W t h e W w o r d W "" w a s "" ? W a : UTT_BOUNDARY c a r v e d "" ? W a : UTT_BOUNDARY","carved""? a:"
"Q: In the sentence ""The tigers hunt prey at night"", which word comes right after the word ""The""? A:","['The', 'tigers', 'hunt', 'prey', 'at', 'night']",tigers,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" t h e W t i g e r s W h u n t W p r e y W a t W n i g h t "" , W w h i c h W w o r d W c o m e s W r i g h t W a f t e r W t h e W w o r d W "" t h e "" ? W a : UTT_BOUNDARY m a r y "" ? W a : UTT_BOUNDARY","mary""? a:"
"Q: Which word comes right after ""Susan"" in the sentence ""Susan bought some flowers for her mother""? A:","['Susan', 'bought', 'some', 'flowers', 'for', 'her', 'mother']",bought,"UTT_BOUNDARY q : W w h i c h W w o r d W c o m e s W r i g h t W a f t e r W "" s u s a n "" W i n W t h e W s e n t e n c e W "" s u s a n W b o u g h t W s o m e W f l o w e r s W f o r W h e r W m o t h e r "" ? W a : UTT_BOUNDARY p e a r s o n W b e i n g W e a s e d W t h e W a",pearson being eased the a
"Q: In the sentence ""Lucy sent Jane a letter"", which word immediately succeeds the word ""Lucy""? A:","['Lucy', 'sent', 'Jane', 'a', 'letter']",sent,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" l u c y W s e n t W j a n e W a W l e t t e r "" , W w h i c h W w o r d W i m m e d i a t e l y W s u c c e e d s W t h e W w o r d W "" l u c y "" ? W a : UTT_BOUNDARY s e n t W m e W t o W t h e W w o r l d "" ? W a :","sent me to the world""? a:"
"Q: In the sentence ""I want him to eat asparagus"", which word immediately succeeds the word ""eat""? A:","['I', 'want', 'him', 'to', 'eat', 'asparagus']",asparagus,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" i W w a n t W h i m W t o W e a t W a s p a r a g u s "" , W w h i c h W w o r d W i m m e d i a t e l y W s u c c e e d s W t h e W w o r d W "" e a t "" ? W a : UTT_BOUNDARY d r i n k s W l i k e W t h e W n o t "" ? W a : UTT_BOUNDARY","drinks like the not""? a:"
"Q: Which word comes right after ""butter"" in the sentence ""The king loved peanut butter cookies""? A:","['The', 'king', 'loved', 'peanut', 'butter', 'cookies']",cookies,"UTT_BOUNDARY q : W w h i c h W w o r d W c o m e s W r i g h t W a f t e r W "" b u t t e r "" W i n W t h e W s e n t e n c e W "" t h e W k i n g W l o v e d W p e a n u t W b u t t e r W c o o k i e s "" ? W a : UTT_BOUNDARY p e a c e r s o n s "" ? W a : UTT_BOUNDARY","peacersons""? a:"
"Q: In the sentence ""Dogs like Kim"", which word comes right after the word ""Dogs""? A:","['Dogs', 'like', 'Kim']",like,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" d o g s W l i k e W k i m "" , W w h i c h W w o r d W c o m e s W r i g h t W a f t e r W t h e W w o r d W "" d o g s "" ? W a : UTT_BOUNDARY d o g s "" ? W a : UTT_BOUNDARY","dogs""? a:"
"Q: Which word comes right after ""halfway"" in the sentence ""I sent the package halfway around the world""? A:","['I', 'sent', 'the', 'package', 'halfway', 'around', 'the', 'world']",around,"UTT_BOUNDARY q : W w h i c h W w o r d W c o m e s W r i g h t W a f t e r W "" h a l f w a y "" W i n W t h e W s e n t e n c e W "" i W s e n t W t h e W p a c k a g e W h a l f w a y W a r o u n d W t h e W w o r l d "" ? W a : UTT_BOUNDARY e a g l e s "" ? W a : UTT_BOUNDARY","eagles""? a:"
"Q: Which word comes right after ""Ellen"" in the sentence ""Ellen talked with Helen about the problem""? A:","['Ellen', 'talked', 'with', 'Helen', 'about', 'the', 'problem']",talked,"UTT_BOUNDARY q : W w h i c h W w o r d W c o m e s W r i g h t W a f t e r W "" e l l e n "" W i n W t h e W s e n t e n c e W "" e l l e n W t a l k e d W w i t h W h e l e n W a b o u t W t h e W p r o b l e m "" ? W a : UTT_BOUNDARY h e c k e d W t h e W w o r d W "" h e r "" ? W a :","hecked the word ""her""? a:"
"Q: In the sentence ""The barber shaved my chin"", which word comes right after the word ""barber""? A:","['The', 'barber', 'shaved', 'my', 'chin']",shaved,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" t h e W b a r b e r W s h a v e d W m y W c h i n "" , W w h i c h W w o r d W c o m e s W r i g h t W a f t e r W t h e W w o r d W "" b a r b e r "" ? W a : UTT_BOUNDARY b a n k r o c c h e r s W w e r e W p r e g n a ""","bankrocchers were pregna"""
"Q: In the sentence ""Fred threw the ball behind the tree"", which word comes right after the word ""ball""? A:","['Fred', 'threw', 'the', 'ball', 'behind', 'the', 'tree']",behind,"UTT_BOUNDARY q : W i n W t h e W s e n t e n c e W "" f r e d W t h r e w W t h e W b a l l W b e h i n d W t h e W t r e e "" , W w h i c h W w o r d W c o m e s W r i g h t W a f t e r W t h e W w o r d W "" b a l l "" ? W a : UTT_BOUNDARY b a l l e r i n g s "" ? W a : UTT_BOUNDARY","ballerings""? a:"
