Input,Options,Expected,Output (raw),Predicted
"F: Mit welchem Buchstaben beginnt das Wort ""Parkscheibe""? A:","['P', 'a', 'r', 'k', 's', 'c', 'h', 'e', 'i', 'b', 'e']",p,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""parkscheibe""? a:UTT_BOUNDARY pasta mit tomatenso", pasta mit tomatenso
"F: Mit welchem Buchstaben beginnt das Wort ""elastisch""? A:","['e', 'l', 'a', 's', 't', 'i', 's', 'c', 'h']",e,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""elastisch""? a:UTT_BOUNDARY effizient"""," effizient"""
"F: Mit welchem Buchstaben beginnt das Wort ""Zug""? A:","['Z', 'u', 'g']",z,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""zug""? a:UTT_BOUNDARY zange""? a:"," zange""? a:"
"F: Was ist der erste Buchstabe des Wortes ""Schaf""? A:","['S', 'c', 'h', 'a', 'f']",s,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""schaf""? a:UTT_BOUNDARY sicksigse", sicksigse
"Schreibe den ersten Buchstaben des Wortes ""Bäckerei"": ","['B', 'ä', 'c', 'k', 'e', 'r', 'e', 'i']",b,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""bäckerei"":UTT_BOUNDARY butzmännerjagd", butzmännerjagd
"F: Mit welchem Buchstaben beginnt das Wort ""Flasche""? A:","['F', 'l', 'a', 's', 'c', 'h', 'e']",f,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""flasche""? a:UTT_BOUNDARY a:UTT_BOUNDARY", a:
"F: Mit welchem Buchstaben beginnt das Wort ""Goldfisch""? A:","['G', 'o', 'l', 'd', 'f', 'i', 's', 'c', 'h']",g,"UTT_BOUNDARY f: mit welchem buchstaben beginnt das wort ""goldfisch""? a:UTT_BOUNDARY sidee sendet", sidee sendet
"Schreibe den ersten Buchstaben des Wortes ""ausgraben"": ","['a', 'u', 's', 'g', 'r', 'a', 'b', 'e', 'n']",a,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""ausgraben"":UTT_BOUNDARY a:UTT_BOUNDARY", a:
"F: Was ist der erste Buchstabe des Wortes ""Kunst""? A:","['K', 'u', 'n', 's', 't']",k,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""kunst""? a:UTT_BOUNDARY wimper wim", wimper wim
"Schreibe den ersten Buchstaben des Wortes ""menschlich"": ","['m', 'e', 'n', 's', 'c', 'h', 'l', 'i', 'c', 'h']",m,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""menschlich"":UTT_BOUNDARY honeystick", honeystick
"Schreibe den ersten Buchstaben des Wortes ""Punktestand"": ","['P', 'u', 'n', 'k', 't', 'e', 's', 't', 'a', 'n', 'd']",p,"UTT_BOUNDARY schreibe den ersten buchstaben des wortes ""punktestand"":UTT_BOUNDARY kehlköpfelatz", kehlköpfelatz
"F: Was ist der erste Buchstabe des Wortes ""Haus""? A:","['H', 'a', 'u', 's']",h,"UTT_BOUNDARY f: was ist der erste buchstabe des wortes ""haus""? a:UTT_BOUNDARY kehlköpfelatz", kehlköpfelatz
