Input,Expected,Predicted
"Q: In the sentence ""John was lots more obnoxious than Fred"", what is the first word? A:",John,john was lots more obnoxi
"Q: In the sentence ""A boy hit the ball"", what is the first word? A:",A,a boy hit the ball? a:
"Q: In the sentence ""I remembered having kissed Mary"", what is the first word? A:",I,"in the sentence ""mary rem"
"Q: What is the first word of the sentence ""I believe strongly that the world is round""? A:",I,i believe strongly that t
"Write the first word of the sentence ""John will see you"": ",John,"john will see you"":"
"Q: In the sentence ""They gave the bicycle to me"", what is the first word? A:",They,they gave the bicycle to 
"Q: In the sentence ""An owl hunts mice"", what is the first word? A:",An,"an owl hunts mice""? a:"
"Write the first word of the sentence ""Helen wiped the wall"": ",Helen,helen wiped the wall with
"Q: What is the first word of the sentence ""Elizabeth regretted that she had met Wickham""? A:",Elizabeth,elizabeth regretted that 
"Write the first word of the sentence ""I told the story to Daniel"": ",I,i told the story to danie
"Write the first word of the sentence ""Sonatas are easy to play on this violin"": ",Sonatas,sonatas are easy to play 
"Q: What is the first word of the sentence ""Paula hit the fence""? A:",Paula,paula hit the fence of th
"Q: What is the first word of the sentence ""The man killed the king with the knife""? A:",The,the knife killed the knif
"Q: In the sentence ""The student knew the answers"", what is the first word? A:",The,the student knew the answ
"Write the first word of the sentence ""Celia brushed her hair"": ",Celia,celia brushed her hair ha
"Q: What is the first word of the sentence ""I served leek soup to my guests""? A:",I,i served leek soup to my 
"Q: In the sentence ""Never had Sir Thomas been so offended"", what is the first word? A:",Never,never had sir thomas been
"Q: What is the first word of the sentence ""I will speak to Hector about this""? A:",I,i will speak to hector ab
"Write the first word of the sentence ""Rosemary hates New York"": ",Rosemary,"rosemary hates new york"":"
"Write the first word of the sentence ""He planted the garden with roses last November"": ",He,he planted the garden wit
"Q: What is the first word of the sentence ""Julie felt he was there""? A:",Julie,"julie felt he was there""?"
"Q: What is the first word of the sentence ""Kim is fond of Lee""? A:",Kim,kim is fond of lee? a:
"Q: What is the first word of the sentence ""I know the person whose mother died""? A:",I,i know the person whose m
"Write the first word of the sentence ""Almost every lawyer could answer that question"": ",Almost,almost every lawyer could
"Q: In the sentence ""The boat sank"", what is the first word? A:",The,"the boat sank""? a:"
"Write the first word of the sentence ""Most of the fruit is rotten"": ",Most,most of the fruit is rott
"Write the first word of the sentence ""Don swatted the mosquito with the newspaper"": ",Don,don swatted the mosquito 
"Q: In the sentence ""Shannon sent Dan an email"", what is the first word? A:",Shannon,shannon sent dan an email
"Q: What is the first word of the sentence ""The defendant denied the accusation""? A:",The,the defendant denied the 
"Q: In the sentence ""I have six more of them"", what is the first word? A:",I,"i have six more of them""?"
"Q: In the sentence ""The dog chased the cat for days"", what is the first word? A:",The,the cat chased the cat fo
"Q: In the sentence ""Fred kicked the ball over the fence"", what is the first word? A:",Fred,fred kicked the ball over
"Q: What is the first word of the sentence ""John talked to any politician who is powerful""? A:",John,john talked to any politi
"Write the first word of the sentence ""Jessica loaded boxes under the wagon"": ",Jessica,jessica loaded boxes unde
"Q: What is the first word of the sentence ""He looks so formidable""? A:",He,"he looks so formidable""? "
"Q: What is the first word of the sentence ""Jackie chased the thief""? A:",Jackie,"jackie chased the thief""?"
"Write the first word of the sentence ""Doug cleared the table"": ",Doug,doug cleared the table:
"Q: What is the first word of the sentence ""John promised Mary that he would leave""? A:",John,john promised mary that h
"Q: What is the first word of the sentence ""Henri will paint the floor for an hour""? A:",Henri,henri will paint the floo
