Input,Options,Expected,Predicted
"F: Welches Wort ist laenger, ""einfach"" oder ""mehr""? A:","['einfach', 'mehr']",einfach,einfach
"F: Welches Wort ist laenger, ""war"" oder ""gedanke""? A:","['war', 'gedanke']",gedanke,gedanke
"F: Welches Wort ist laenger, ""dann"" oder ""einfach""? A:","['dann', 'einfach']",einfach,einfach
"F: Welches Wort hat mehr Buchstaben, ""in"" oder ""sollen""? A:","['in', 'sollen']",sollen,sollen
"Von den Woertern ""sich"" und ""geborene"", welches hat mehr Buchstaben? ","['sich', 'geborene']",geborene,sich
"F: Welches Wort ist laenger, ""man"" oder ""einfach""? A:","['man', 'einfach']",einfach,einfach
"F: Welches Wort ist laenger, ""sie"" oder ""namenlos""? A:","['sie', 'namenlos']",namenlos,sie
"Von den Woertern ""entsteht"" und ""noch"", welches hat mehr Buchstaben? ","['entsteht', 'noch']",entsteht,entsteht
"F: Welches Wort hat mehr Buchstaben, ""er"" oder ""ungerne""? A:","['er', 'ungerne']",ungerne,er
"Von den Woertern ""darueber"" und ""sowie"", welches hat mehr Buchstaben? ","['darueber', 'sowie']",darueber,sowie
"Von den Woertern ""will"" und ""bekannte"", welches hat mehr Buchstaben? ","['will', 'bekannte']",bekannte,bekannte
"F: Welches Wort hat mehr Buchstaben, ""im"" oder ""nichts""? A:","['im', 'nichts']",nichts,im
"F: Welches Wort hat mehr Buchstaben, ""koennt"" oder ""sie""? A:","['koennt', 'sie']",koennt,koennt
"F: Welches Wort ist laenger, ""gezeigt"" oder ""auch""? A:","['gezeigt', 'auch']",gezeigt,gezeigt
"Von den Woertern ""daran"" und ""zwischen"", welches hat mehr Buchstaben? ","['daran', 'zwischen']",zwischen,zwischen
"F: Welches Wort hat mehr Buchstaben, ""nie"" oder ""fragen""? A:","['nie', 'fragen']",fragen,fragen
"F: Welches Wort ist laenger, ""anderen"" oder ""ist""? A:","['anderen', 'ist']",anderen,ist
"F: Welches Wort hat mehr Buchstaben, ""ob"" oder ""ungerne""? A:","['ob', 'ungerne']",ungerne,ob
"Von den Woertern ""allen"" und ""abschied"", welches hat mehr Buchstaben? ","['allen', 'abschied']",abschied,allen
"Von den Woertern ""diese"" und ""zwischen"", welches hat mehr Buchstaben? ","['diese', 'zwischen']",zwischen,diese
"F: Welches Wort hat mehr Buchstaben, ""im"" oder ""mulmig""? A:","['im', 'mulmig']",mulmig,mulmig
"F: Welches Wort hat mehr Buchstaben, ""anteil"" oder ""ja""? A:","['anteil', 'ja']",anteil,anteil
"F: Welches Wort hat mehr Buchstaben, ""besser"" oder ""los""? A:","['besser', 'los']",besser,los
"Von den Woertern ""auch"" und ""beispiel"", welches hat mehr Buchstaben? ","['auch', 'beispiel']",beispiel,beispiel
"F: Welches Wort ist laenger, ""und"" oder ""abschied""? A:","['und', 'abschied']",abschied,abschied
"Von den Woertern ""erfahrung"" und ""unter"", welches hat mehr Buchstaben? ","['erfahrung', 'unter']",erfahrung,erfahrung
"Von den Woertern ""bruellen"" und ""wurde"", welches hat mehr Buchstaben? ","['bruellen', 'wurde']",bruellen,bruellen
"F: Welches Wort ist laenger, ""ehe"" oder ""pulvrig""? A:","['ehe', 'pulvrig']",pulvrig,ehe
