Sen,Sen_ppl,Wrong_Sen,Wrong_Sen_ppl,Score
"Yes, lovely creature, is n't she?",112.98120880126953,"Yes, lovely creature, am n't she?",277.38153076171875,1
There is no easy answer to the painful issue of abortion.,22.126710891723633,There am no easy answer to the painful issue of abortion.,80.68191528320312,1
"Right up to a week after my birth he continued to say, 'How is he?'",49.78060531616211,"Right up to a week after my birth he continued to say, 'How am he?'",85.18758392333984,1
This is whale meat that I photographed in a grocery store in Tokyo - or is it?,39.80663299560547,This is whale meat that I photographed in a grocery store in Tokyo - or am it?,75.68965911865234,1
Among them is the former cloister from the abbey church of St. Peter and Paul.,27.300220489501953,Among them am the former cloister from the abbey church of St. Peter and Paul.,55.720603942871094,1
how much is a flight from washington to montreal,36.95083236694336,how much 'm a flight from washington to montreal,187.40321350097656,1
Among them is the former cloister from the abbey church of St. Peter and Paul.,27.300220489501953,Among them 'm the former cloister from the abbey church of St. Peter and Paul.,50.606807708740234,1
"Right up to a week after my birth he continued to say, 'How is he?'",49.78060531616211,"Right up to a week after my birth he continued to say, 'How 'm he?'",74.5068588256836,1
There is no easy answer to the painful issue of abortion.,22.126710891723633,There 'm no easy answer to the painful issue of abortion.,171.40171813964844,1
how much is a flight from washington to boston,32.73236846923828,how much 'm a flight from washington to boston,162.1236572265625,1
But here is a mushroom that's past its prime.,73.38770294189453,But here am a mushroom that's past its prime.,217.0734405517578,1
"Yes, lovely creature, is n't she?",112.98120880126953,"Yes, lovely creature, 'm n't she?",347.43939208984375,1
how much is a flight from washington to montreal,36.95083236694336,how much am a flight from washington to montreal,134.68128967285156,1
"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",40.09449768066406,"For one thing, there am increasing concern, and that is undoubtedly true, on the part of experts too.",75.34371948242188,1
"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so is their country – the sea.",44.066951751708984,"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so am their country – the sea.",66.89298248291016,1
how much is a flight from washington to boston,32.73236846923828,how much am a flight from washington to boston,122.97285461425781,1
"Tindi Kente is a wonderful dancer, wonderful, is n't she... just like a snake brought out by music, and sometimes he 'll try with her.",156.4485626220703,"Tindi Kente is a wonderful dancer, wonderful, 'm n't she... just like a snake brought out by music, and sometimes he 'll try with her.",218.61557006835938,1
"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",40.09449768066406,"For one thing, there 'm increasing concern, and that is undoubtedly true, on the part of experts too.",105.7029800415039,1
In the corner is a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,30.181365966796875,In the corner 'm a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,87.27181243896484,1
