Input,Options,Expected,Predicted
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""kerze"" oder ""decke""? A:","['kerze', 'decke']",decke,kerze
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""journal"" oder ""chef""? A:","['journal', 'chef']",chef,chef
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""gabel"" oder ""drucker""? A:","['gabel', 'drucker']",drucker,drucker
"F: In alphabetischer Reihenfolge, welches der Woerter ""anker"" und ""jacke"" kommt zuerst? A:","['anker', 'jacke']",anker,anker
"Welches von den Woertern ""junge"" und ""elch"", kommt alphabetisch zuerst? ","['junge', 'elch']",elch,elch
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""holz"" oder ""couch""? A:","['holz', 'couch']",couch,couch
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""computer"" oder ""jury""? A:","['computer', 'jury']",computer,computer
"Welches von den Woertern ""iglu"" und ""dezember"", kommt alphabetisch zuerst? ","['iglu', 'dezember']",dezember,iglu
"F: In alphabetischer Reihenfolge, welches der Woerter ""atlas"" und ""iglu"" kommt zuerst? A:","['atlas', 'iglu']",atlas,iglu
"Welches von den Woertern ""keks"" und ""eiche"", kommt alphabetisch zuerst? ","['keks', 'eiche']",eiche,eiche
"Welches von den Woertern ""lager"" und ""eimer"", kommt alphabetisch zuerst? ","['lager', 'eimer']",eimer,lager
"F: In alphabetischer Reihenfolge, welches der Woerter ""leiter"" und ""apfel"" kommt zuerst? A:","['leiter', 'apfel']",apfel,apfel
"F: In alphabetischer Reihenfolge, welches der Woerter ""birne"" und ""joystick"" kommt zuerst? A:","['birne', 'joystick']",birne,birne
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""glas"" oder ""decke""? A:","['glas', 'decke']",decke,glas
"Welches von den Woertern ""fisch"" und ""input"", kommt alphabetisch zuerst? ","['fisch', 'input']",fisch,input
"F: In alphabetischer Reihenfolge, welches der Woerter ""insel"" und ""brett"" kommt zuerst? A:","['insel', 'brett']",brett,insel
"F: In alphabetischer Reihenfolge, welches Wort kommt zuerst, ""bruecke"" oder ""intelligenz""? A:","['bruecke', 'intelligenz']",bruecke,bruecke
