Sen,Sen_ppl,Wrong_Sen,Wrong_Sen_ppl,Score
"Yes, lovely creature, is n't she?",4.770497798919678,"Yes, lovely creature, am n't she?",6.55070686340332,1
There is no easy answer to the painful issue of abortion.,2.7565436363220215,There am no easy answer to the painful issue of abortion.,3.31543231010437,1
"Right up to a week after my birth he continued to say, 'How is he?'",3.378481388092041,"Right up to a week after my birth he continued to say, 'How am he?'",3.7963452339172363,1
This is whale meat that I photographed in a grocery store in Tokyo - or is it?,4.195043087005615,This is whale meat that I photographed in a grocery store in Tokyo - or am it?,4.386579513549805,1
Among them is the former cloister from the abbey church of St. Peter and Paul.,2.9970786571502686,Among them am the former cloister from the abbey church of St. Peter and Paul.,3.829718828201294,1
how much is a flight from washington to montreal,2.7495129108428955,how much 'm a flight from washington to montreal,3.6807382106781006,1
Among them is the former cloister from the abbey church of St. Peter and Paul.,2.9970786571502686,Among them 'm the former cloister from the abbey church of St. Peter and Paul.,3.9671168327331543,1
"Right up to a week after my birth he continued to say, 'How is he?'",3.378481388092041,"Right up to a week after my birth he continued to say, 'How 'm he?'",4.3419189453125,1
There is no easy answer to the painful issue of abortion.,2.7565436363220215,There 'm no easy answer to the painful issue of abortion.,3.6520683765411377,1
how much is a flight from washington to boston,2.7548937797546387,how much 'm a flight from washington to boston,3.7613332271575928,1
But here is a mushroom that's past its prime.,3.735321044921875,But here am a mushroom that's past its prime.,5.821174621582031,1
"Yes, lovely creature, is n't she?",4.770497798919678,"Yes, lovely creature, 'm n't she?",6.831513404846191,1
how much is a flight from washington to montreal,2.7495129108428955,how much am a flight from washington to montreal,3.3865511417388916,1
"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",4.391303539276123,"For one thing, there am increasing concern, and that is undoubtedly true, on the part of experts too.",4.661005020141602,1
"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so is their country – the sea.",6.2249860763549805,"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so am their country – the sea.",6.32205057144165,1
how much is a flight from washington to boston,2.7548937797546387,how much am a flight from washington to boston,3.329340934753418,1
"Tindi Kente is a wonderful dancer, wonderful, is n't she... just like a snake brought out by music, and sometimes he 'll try with her.",11.972597122192383,"Tindi Kente is a wonderful dancer, wonderful, 'm n't she... just like a snake brought out by music, and sometimes he 'll try with her.",13.228431701660156,1
"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",4.391303539276123,"For one thing, there 'm increasing concern, and that is undoubtedly true, on the part of experts too.",5.0507049560546875,1
In the corner is a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,8.00033950805664,In the corner 'm a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,8.961000442504883,1
